Hour,Total Outflow cfs,Generation Flow cfs,Spill cfs,Forebay Elevation,Tailwater Elevation,Average Head,Date
,,,,,,,8/13/2022
MAX,1090,1090,0,1200.89,1108.83,92.12,8/13/2022
MIN,1030,1030,0,1191.03,1108.65,82.35,8/13/2022
1,1080,1080,0,1200.64,1108.79,91.85,8/14/2022
2,1090,1090,0,1200.84,1108.79,92.05,8/14/2022
3,1090,1090,0,1200.06,1108.79,91.27,8/14/2022
4,1070,1070,0,1199.39,1108.74,90.65,8/14/2022
5,1100,1100,0,1198.68,1108.79,89.89,8/14/2022
6,1070,1070,0,1197.96,1108.77,89.19,8/14/2022
7,1070,1070,0,1197.25,1108.74,88.51,8/14/2022
8,1060,1060,0,1196.52,1108.68,87.84,8/14/2022
9,1070,1070,0,1195.76,1108.76,87,8/14/2022
10,1070,1070,0,1194.98,1108.71,86.27,8/14/2022
11,1080,1080,0,1194.19,1108.74,85.45,8/14/2022
12,1070,1070,0,1193.39,1108.75,84.64,8/14/2022
13,1070,1070,0,1192.58,1108.74,83.84,8/14/2022
14,1060,1060,0,1191.77,1108.72,83.05,8/14/2022
15,1040,1040,0,1190.97,1108.73,82.24,8/14/2022
16,1060,1060,0,1192,1108.77,83.23,8/14/2022
17,1060,1060,0,1193.22,1108.66,84.56,8/14/2022
18,1040,1040,0,1194.43,1108.71,85.72,8/14/2022
19,1060,1060,0,1195.58,1108.76,86.82,8/14/2022
20,1050,1050,0,1196.72,1108.73,87.99,8/14/2022
21,1070,1070,0,1197.83,1108.74,89.09,8/14/2022
22,1070,1070,0,1199.86,1108.75,91.11,8/14/2022
23,1070,1070,0,1200.15,1108.74,91.41,8/14/2022
24,1070,1070,0,1200.36,1108.74,91.62,8/14/2022
,,,,,,,8/14/2022
AVG,1068,1068,0,1196.46,1108.74,87.72,8/14/2022
,,,,,,,8/14/2022
MAX,1100,1100,0,1200.84,1108.79,92.05,8/14/2022
MIN,1040,1040,0,1190.97,1108.66,82.24,8/14/2022
1,1090,1090,0,1200.55,1108.78,91.77,8/15/2022
2,1100,1100,0,1200.74,1108.75,91.99,8/15/2022
3,1090,1090,0,1200.04,1108.78,91.26,8/15/2022
4,1100,1100,0,1199.33,1108.81,90.52,8/15/2022
5,1070,1070,0,1198.63,1108.71,89.92,8/15/2022
6,1100,1100,0,1197.9,1108.81,89.09,8/15/2022
7,1070,1070,0,1197.18,1108.73,88.45,8/15/2022
8,1080,1080,0,1196.43,1108.76,87.67,8/15/2022
9,1060,1060,0,1195.67,1108.78,86.89,8/15/2022
10,1070,1070,0,1194.89,1108.75,86.14,8/15/2022
11,1080,1080,0,1194.1,1108.71,85.39,8/15/2022
12,1090,1090,0,1193.29,1108.73,84.56,8/15/2022
13,1060,1060,0,1192.48,1108.75,83.73,8/15/2022
14,1070,1070,0,1191.67,1108.72,82.95,8/15/2022
15,1060,1060,0,1190.84,1108.74,82.1,8/15/2022
16,1060,1060,0,1191.88,1108.71,83.17,8/15/2022
17,1060,1060,0,1193.11,1108.8,84.31,8/15/2022
18,1060,1060,0,1194.31,1108.71,85.6,8/15/2022
19,1080,1080,0,1195.47,1108.75,86.72,8/15/2022
20,1040,1040,0,1196.61,1108.71,87.9,8/15/2022
21,1050,1050,0,1197.72,1108.74,88.98,8/15/2022
22,1060,1060,0,1199.76,1108.77,90.99,8/15/2022
23,1060,1060,0,1200.06,1108.74,91.32,8/15/2022
24,1090,1090,0,1200.25,1108.77,91.48,8/15/2022
,,,,,,,8/15/2022
AVG,1073,1073,0,1196.37,1108.75,87.62,8/15/2022
,,,,,,,8/15/2022
MAX,1100,1100,0,1200.74,1108.81,91.99,8/15/2022
MIN,1040,1040,0,1190.84,1108.71,82.1,8/15/2022
1,1080,1080,0,1200.45,1108.77,91.68,8/16/2022
2,1090,1090,0,1200.63,1108.77,91.86,8/16/2022
3,1070,1070,0,1199.97,1108.79,91.18,8/16/2022
4,1070,1070,0,1199.25,1108.77,90.48,8/16/2022
5,1070,1070,0,1198.55,1108.72,89.83,8/16/2022
6,1070,1070,0,1197.84,1108.8,89.04,8/16/2022
7,1070,1070,0,1197.12,1108.74,88.38,8/16/2022
8,1060,1060,0,1196.37,1108.68,87.69,8/16/2022
9,1060,1060,0,1195.6,1108.77,86.83,8/16/2022
10,1090,1090,0,1194.81,1108.74,86.07,8/16/2022
11,1070,1070,0,1194.02,1108.71,85.31,8/16/2022
12,1070,1070,0,1193.23,1108.73,84.5,8/16/2022
13,1070,1070,0,1192.41,1108.73,83.68,8/16/2022
14,1060,1060,0,1191.59,1108.68,82.91,8/16/2022
15,1050,1050,0,1190.77,1108.72,82.05,8/16/2022
16,1060,1060,0,1191.8,1108.74,83.06,8/16/2022
17,1070,1070,0,1193.02,1108.71,84.31,8/16/2022
18,1080,1080,0,1194.21,1108.75,85.46,8/16/2022
19,1060,1060,0,1195.39,1108.75,86.64,8/16/2022
20,1070,1070,0,1196.53,1108.73,87.8,8/16/2022
21,1070,1070,0,1197.64,1108.7,88.94,8/16/2022
22,1080,1080,0,1199.67,1108.77,90.9,8/16/2022
23,1080,1080,0,1199.96,1108.76,91.2,8/16/2022
24,1080,1080,0,1200.15,1108.81,91.34,8/16/2022
,,,,,,,8/16/2022
AVG,1071,1071,0,1196.29,1108.74,87.55,8/16/2022
,,,,,,,8/16/2022
MAX,1090,1090,0,1200.63,1108.81,91.86,8/16/2022
MIN,1050,1050,0,1190.77,1108.68,82.05,8/16/2022
1,1110,1110,0,1200.32,1108.83,91.49,8/17/2022
2,1110,1110,0,1200.5,1108.8,91.7,8/17/2022
3,1070,1070,0,1199.87,1108.73,91.14,8/17/2022
4,1070,1070,0,1199.15,1108.76,90.39,8/17/2022
5,1070,1070,0,1198.45,1108.74,89.71,8/17/2022
6,1080,1080,0,1197.73,1108.75,88.98,8/17/2022
7,1060,1060,0,1197.01,1108.74,88.27,8/17/2022
8,1050,1050,0,1196.27,1108.7,87.57,8/17/2022
9,1080,1080,0,1195.51,1108.72,86.79,8/17/2022
10,1070,1070,0,1194.73,1108.73,86,8/17/2022
11,1060,1060,0,1193.94,1108.73,85.21,8/17/2022
12,1070,1070,0,1193.15,1108.74,84.41,8/17/2022
13,1070,1070,0,1192.34,1108.71,83.63,8/17/2022
14,1060,1060,0,1191.52,1108.72,82.8,8/17/2022
15,1020,1020,0,1190.71,1108.71,82,8/17/2022
16,1070,1070,0,1191.72,1108.7,83.02,8/17/2022
17,1060,1060,0,1192.95,1108.73,84.22,8/17/2022
18,1080,1080,0,1194.15,1108.77,85.38,8/17/2022
19,1070,1070,0,1195.32,1108.75,86.57,8/17/2022
20,1060,1060,0,1196.47,1108.72,87.75,8/17/2022
21,1070,1070,0,1197.58,1108.74,88.84,8/17/2022
22,1060,1060,0,1199.54,1108.77,90.77,8/17/2022
23,1080,1080,0,1199.83,1108.71,91.12,8/17/2022
24,1070,1070,0,1200.03,1108.74,91.29,8/17/2022
,,,,,,,8/17/2022
AVG,1070,1070,0,1196.2,1108.74,87.46,8/17/2022
,,,,,,,8/17/2022
MAX,1110,1110,0,1200.5,1108.83,91.7,8/17/2022
MIN,1020,1020,0,1190.71,1108.7,82,8/17/2022
1,1080,1080,0,1200.21,1108.79,91.42,8/18/2022
2,1090,1090,0,1200.39,1108.79,91.6,8/18/2022
3,1090,1090,0,1199.82,1108.75,91.07,8/18/2022
4,1080,1080,0,1199.14,1108.78,90.36,8/18/2022
5,1080,1080,0,1198.42,1108.74,89.68,8/18/2022
6,1090,1090,0,1197.69,1108.78,88.91,8/18/2022
7,1050,1050,0,1196.96,1108.72,88.24,8/18/2022
8,1060,1060,0,1196.23,1108.73,87.5,8/18/2022
9,1090,1090,0,1195.46,1108.75,86.71,8/18/2022
10,1070,1070,0,1194.69,1108.73,85.96,8/18/2022
11,1070,1070,0,1193.89,1108.72,85.17,8/18/2022
12,1060,1060,0,1193.09,1108.73,84.36,8/18/2022
13,1050,1050,0,1192.3,1108.75,83.55,8/18/2022
14,1050,1050,0,1191.48,1108.73,82.75,8/18/2022
15,1060,1060,0,1190.65,1108.68,81.97,8/18/2022
16,1060,1060,0,1191.7,1108.73,82.97,8/18/2022
17,1060,1060,0,1192.93,1108.7,84.23,8/18/2022
18,1060,1060,0,1194.13,1108.73,85.4,8/18/2022
19,1060,1060,0,1195.31,1108.76,86.55,8/18/2022
20,1050,1050,0,1196.47,1108.7,87.77,8/18/2022
21,1060,1060,0,1197.59,1108.78,88.81,8/18/2022
22,1080,1080,0,1199.61,1108.78,90.83,8/18/2022
23,1080,1080,0,1199.89,1108.82,91.07,8/18/2022
24,1090,1090,0,1200.07,1108.78,91.29,8/18/2022
,,,,,,,8/18/2022
AVG,1070,1070,0,1196.17,1108.75,87.42,8/18/2022
,,,,,,,8/18/2022
MAX,1090,1090,0,1200.39,1108.82,91.6,8/18/2022
MIN,1050,1050,0,1190.65,1108.68,81.97,8/18/2022
1,1110,1110,0,1200.24,1108.8,91.44,8/19/2022
2,1090,1090,0,1200.42,1108.79,91.63,8/19/2022
3,1100,1100,0,1200.59,1108.78,91.81,8/19/2022
4,1090,1090,0,1200.77,1108.73,92.04,8/19/2022
5,1090,1090,0,1200.93,1108.8,92.13,8/19/2022
6,1110,1110,0,1200.29,1108.75,91.54,8/19/2022
7,1070,1070,0,1199.56,1108.78,90.78,8/19/2022
8,1070,1070,0,1198.86,1108.76,90.1,8/19/2022
9,1070,1070,0,1198.15,1108.76,89.39,8/19/2022
10,1080,1080,0,1197.44,1108.72,88.72,8/19/2022
11,1070,1070,0,1196.71,1108.71,88,8/19/2022
12,1060,1060,0,1195.95,1108.75,87.2,8/19/2022
13,1070,1070,0,1195.2,1108.71,86.49,8/19/2022
14,1060,1060,0,1194.44,1108.75,85.69,8/19/2022
15,1060,1060,0,1193.68,1108.73,84.95,8/19/2022
16,1050,1050,0,1192.86,1108.7,84.16,8/19/2022
17,1060,1060,0,1193.88,1108.71,85.17,8/19/2022
18,1070,1070,0,1195.05,1108.75,86.3,8/19/2022
19,1070,1070,0,1196.21,1108.75,87.46,8/19/2022
20,1070,1070,0,1197.36,1108.73,88.63,8/19/2022
21,1070,1070,0,1198.46,1108.79,89.67,8/19/2022
22,1070,1070,0,1200.17,1108.82,91.35,8/19/2022
23,1070,1070,0,1200.44,1108.74,91.7,8/19/2022
24,1060,1060,0,1200.63,1108.8,91.83,8/19/2022
,,,,,,,8/19/2022
AVG,1075,1075,0,1197.85,1108.75,89.09,8/19/2022
,,,,,,,8/19/2022
MAX,1110,1110,0,1200.93,1108.82,92.13,8/19/2022
MIN,1050,1050,0,1192.86,1108.7,84.16,8/19/2022
1,1080,1080,0,1200.8,1108.73,92.07,8/20/2022
2,1100,1100,0,1200.97,1108.71,92.26,8/20/2022
3,1100,1100,0,1201.13,1108.75,92.38,8/20/2022
4,1110,1110,0,1201.29,1108.8,92.49,8/20/2022
5,1110,1110,0,1200.76,1108.79,91.97,8/20/2022
6,1100,1100,0,1200.09,1108.81,91.28,8/20/2022
7,1110,1110,0,1199.36,1108.8,90.56,8/20/2022
8,1080,1080,0,1198.66,1108.77,89.89,8/20/2022
9,1070,1070,0,1197.95,1108.75,89.2,8/20/2022
10,1070,1070,0,1197.22,1108.74,88.48,8/20/2022
11,1060,1060,0,1196.49,1108.72,87.77,8/20/2022
12,1080,1080,0,1195.71,1108.77,86.94,8/20/2022
13,1080,1080,0,1194.93,1108.72,86.21,8/20/2022
14,1060,1060,0,1194.17,1108.76,85.41,8/20/2022
15,1060,1060,0,1193.38,1108.68,84.7,8/20/2022
16,1070,1070,0,1192.57,1108.76,83.81,8/20/2022
17,1060,1060,0,1193.59,1108.7,84.89,8/20/2022
18,1090,1090,0,1194.79,1108.78,86.01,8/20/2022
19,1080,1080,0,1195.95,1108.75,87.2,8/20/2022
20,1070,1070,0,1197.08,1108.75,88.33,8/20/2022
21,1090,1090,0,1198.2,1108.77,89.43,8/20/2022
22,1070,1070,0,1199.88,1108.74,91.14,8/20/2022
23,1070,1070,0,1200.16,1108.73,91.43,8/20/2022
24,1080,1080,0,1200.33,1108.73,91.6,8/20/2022
,,,,,,,8/20/2022
AVG,1081,1081,0,1197.73,1108.75,88.98,8/20/2022
,,,,,,,8/20/2022
MAX,1110,1110,0,1201.29,1108.81,92.49,8/20/2022
MIN,1060,1060,0,1192.57,1108.68,83.81,8/20/2022
1,1090,1090,0,1200.51,1108.78,91.73,8/21/2022
2,1070,1070,0,1200.69,1108.81,91.88,8/21/2022
3,1100,1100,0,1200.85,1108.78,92.07,8/21/2022
4,1080,1080,0,1201.01,1108.72,92.29,8/21/2022
5,1100,1100,0,1200.93,1108.8,92.13,8/21/2022
6,1070,1070,0,1200.3,1108.77,91.53,8/21/2022
7,1070,1070,0,1199.58,1108.75,90.83,8/21/2022
8,1070,1070,0,1198.88,1108.71,90.17,8/21/2022
9,1080,1080,0,1198.18,1108.72,89.46,8/21/2022
10,1090,1090,0,1197.45,1108.79,88.66,8/21/2022
11,1080,1080,0,1196.7,1108.73,87.97,8/21/2022
12,1070,1070,0,1195.94,1108.71,87.23,8/21/2022
13,1080,1080,0,1195.16,1108.72,86.44,8/21/2022
14,1070,1070,0,1194.38,1108.73,85.65,8/21/2022
15,1090,1090,0,1193.58,1108.77,84.81,8/21/2022
16,1060,1060,0,1192.79,1108.71,84.08,8/21/2022
17,1070,1070,0,1193.75,1108.73,85.02,8/21/2022
18,1070,1070,0,1194.87,1108.71,86.16,8/21/2022
19,1070,1070,0,1195.97,1108.74,87.23,8/21/2022
20,1060,1060,0,1197.04,1108.69,88.35,8/21/2022
21,1070,1070,0,1198.1,1108.79,89.31,8/21/2022
22,1060,1060,0,1199.71,1108.75,90.96,8/21/2022
23,1070,1070,0,1200.16,1108.79,91.37,8/21/2022
24,1080,1080,0,1200.31,1108.76,91.55,8/21/2022
,,,,,,,8/21/2022
AVG,1076,1076,0,1197.79,1108.75,89.04,8/21/2022
,,,,,,,8/21/2022
MAX,1100,1100,0,1201.01,1108.81,92.29,8/21/2022
MIN,1060,1060,0,1192.79,1108.69,84.08,8/21/2022
1,1100,1100,0,1200.47,1108.82,91.65,8/22/2022
2,1110,1110,0,1200.63,1108.77,91.86,8/22/2022
3,1080,1080,0,1200.79,1108.79,92,8/22/2022
4,1110,1110,0,1200.93,1108.78,92.15,8/22/2022
5,1120,1120,0,1200.74,1108.76,91.98,8/22/2022
6,1110,1110,0,1200,1108.75,91.25,8/22/2022
7,1070,1070,0,1199.31,1108.73,90.58,8/22/2022
8,1060,1060,0,1198.62,1108.67,89.95,8/22/2022
9,1070,1070,0,1197.9,1108.75,89.15,8/22/2022
10,1090,1090,0,1197.19,1108.75,88.44,8/22/2022
11,1080,1080,0,1196.44,1108.78,87.66,8/22/2022
12,1080,1080,0,1195.67,1108.79,86.88,8/22/2022
13,1090,1090,0,1194.88,1108.73,86.15,8/22/2022
14,1070,1070,0,1194.1,1108.75,85.35,8/22/2022
15,1080,1080,0,1193.3,1108.73,84.57,8/22/2022
16,1060,1060,0,1192.49,1108.73,83.76,8/22/2022
17,1060,1060,0,1193.48,1108.7,84.78,8/22/2022
18,1060,1060,0,1194.6,1108.75,85.85,8/22/2022
19,1080,1080,0,1195.71,1108.73,86.98,8/22/2022
20,1060,1060,0,1196.79,1108.77,88.02,8/22/2022
21,1070,1070,0,1197.85,1108.74,89.11,8/22/2022
22,1070,1070,0,1199.61,1108.77,90.84,8/22/2022
23,1070,1070,0,1199.87,1108.71,91.16,8/22/2022
24,1060,1060,0,1200.05,1108.77,91.28,8/22/2022
,,,,,,,8/22/2022
AVG,1080,1080,0,1197.56,1108.75,88.81,8/22/2022
,,,,,,,8/22/2022
MAX,1120,1120,0,1200.93,1108.82,92.15,8/22/2022
MIN,1060,1060,0,1192.49,1108.67,83.76,8/22/2022
1,1090,1090,0,1200.2,1108.81,91.39,8/23/2022
2,1090,1090,0,1200.36,1108.8,91.56,8/23/2022
3,1090,1090,0,1200.51,1108.76,91.75,8/23/2022
4,1090,1090,0,1200.67,1108.73,91.94,8/23/2022
5,1090,1090,0,1200.57,1108.79,91.78,8/23/2022
6,1100,1100,0,1199.94,1108.75,91.19,8/23/2022
7,1070,1070,0,1199.23,1108.68,90.55,8/23/2022
8,1080,1080,0,1198.53,1108.75,89.78,8/23/2022
9,1110,1110,0,1197.8,1108.78,89.02,8/23/2022
10,1080,1080,0,1197.07,1108.79,88.28,8/23/2022
11,1090,1090,0,1196.31,1108.79,87.52,8/23/2022
12,1080,1080,0,1195.54,1108.79,86.75,8/23/2022
13,1090,1090,0,1194.75,1108.77,85.98,8/23/2022
14,1090,1090,0,1193.96,1108.75,85.21,8/23/2022
15,1090,1090,0,1193.16,1108.79,84.37,8/23/2022
16,1080,1080,0,1192.35,1108.73,83.62,8/23/2022
17,1100,1100,0,1193.31,1108.78,84.53,8/23/2022
18,1070,1070,0,1194.44,1108.79,85.65,8/23/2022
19,1060,1060,0,1195.55,1108.74,86.81,8/23/2022
20,1050,1050,0,1196.63,1108.74,87.89,8/23/2022
21,1060,1060,0,1197.7,1108.74,88.96,8/23/2022
22,1060,1060,0,1199.43,1108.72,90.71,8/23/2022
23,1090,1090,0,1199.69,1108.8,90.89,8/23/2022
24,1090,1090,0,1199.84,1108.79,91.05,8/23/2022
,,,,,,,8/23/2022
AVG,1083,1083,0,1197.4,1108.77,88.63,8/23/2022
,,,,,,,8/23/2022
MAX,1110,1110,0,1200.67,1108.81,91.94,8/23/2022
MIN,1050,1050,0,1192.35,1108.68,83.62,8/23/2022
1,1070,1070,0,1200,1108.77,91.23,8/24/2022
2,1080,1080,0,1200.15,1108.77,91.38,8/24/2022
3,1120,1120,0,1200.28,1108.78,91.5,8/24/2022
4,1080,1080,0,1200.44,1108.76,91.68,8/24/2022
5,1110,1110,0,1200.58,1108.78,91.8,8/24/2022
6,1090,1090,0,1199.83,1108.75,91.08,8/24/2022
7,1080,1080,0,1199.13,1108.72,90.41,8/24/2022
8,1090,1090,0,1198.43,1108.74,89.69,8/24/2022
9,1080,1080,0,1197.71,1108.73,88.98,8/24/2022
10,1120,1120,0,1196.97,1108.78,88.19,8/24/2022
11,1100,1100,0,1196.21,1108.81,87.4,8/24/2022
12,1090,1090,0,1195.43,1108.84,86.59,8/24/2022
13,1080,1080,0,1194.64,1108.74,85.9,8/24/2022
14,1080,1080,0,1193.85,1108.71,85.14,8/24/2022
15,1080,1080,0,1193.05,1108.76,84.29,8/24/2022
16,1080,1080,0,1192.23,1108.71,83.52,8/24/2022
17,1070,1070,0,1193.2,1108.73,84.47,8/24/2022
18,1070,1070,0,1194.34,1108.74,85.6,8/24/2022
19,1060,1060,0,1195.46,1108.79,86.67,8/24/2022
20,1060,1060,0,1196.54,1108.74,87.8,8/24/2022
21,1070,1070,0,1197.6,1108.74,88.86,8/24/2022
22,1070,1070,0,1199.45,1108.77,90.68,8/24/2022
23,1100,1100,0,1199.72,1108.78,90.94,8/24/2022
24,1090,1090,0,1199.86,1108.82,91.04,8/24/2022
,,,,,,,8/24/2022
AVG,1084,1084,0,1197.3,1108.76,88.54,8/24/2022
,,,,,,,8/24/2022
MAX,1120,1120,0,1200.58,1108.84,91.8,8/24/2022
MIN,1060,1060,0,1192.23,1108.71,83.52,8/24/2022
1,1080,1080,0,1200,1108.8,91.2,8/25/2022
2,1090,1090,0,1200.14,1108.77,91.37,8/25/2022
3,1090,1090,0,1200.29,1108.79,91.5,8/25/2022
4,1100,1100,0,1200.43,1108.73,91.7,8/25/2022
5,1100,1100,0,1200.57,1108.75,91.82,8/25/2022
6,1110,1110,0,1199.8,1108.8,91,8/25/2022
7,1110,1110,0,1199.1,1108.79,90.31,8/25/2022
8,1070,1070,0,1198.39,1108.78,89.61,8/25/2022
9,1080,1080,0,1197.67,1108.78,88.89,8/25/2022
10,1070,1070,0,1196.95,1108.74,88.21,8/25/2022
11,1080,1080,0,1196.18,1108.75,87.43,8/25/2022
12,1080,1080,0,1195.41,1108.73,86.68,8/25/2022
13,1080,1080,0,1194.63,1108.77,85.86,8/25/2022
14,1090,1090,0,1193.83,1108.72,85.11,8/25/2022
15,1080,1080,0,1193.04,1108.72,84.32,8/25/2022
16,1070,1070,0,1192.23,1108.74,83.49,8/25/2022
17,1070,1070,0,1193.18,1108.7,84.48,8/25/2022
18,1060,1060,0,1194.32,1108.75,85.57,8/25/2022
19,1070,1070,0,1195.44,1108.74,86.7,8/25/2022
20,1060,1060,0,1196.53,1108.72,87.81,8/25/2022
21,1060,1060,0,1197.59,1108.76,88.83,8/25/2022
22,1080,1080,0,1199.41,1108.79,90.62,8/25/2022
23,1070,1070,0,1199.69,1108.82,90.87,8/25/2022
24,1070,1070,0,1199.83,1108.75,91.08,8/25/2022
,,,,,,,8/25/2022
AVG,1080,1080,0,1197.28,1108.76,88.52,8/25/2022
,,,,,,,8/25/2022
MAX,1110,1110,0,1200.57,1108.82,91.82,8/25/2022
MIN,1060,1060,0,1192.23,1108.7,83.49,8/25/2022
1,1100,1100,0,1199.96,1108.76,91.2,8/26/2022
2,1090,1090,0,1200.09,1108.8,91.29,8/26/2022
3,1110,1110,0,1200.23,1108.8,91.43,8/26/2022
4,1070,1070,0,1200.38,1108.78,91.6,8/26/2022
5,1070,1070,0,1199.93,1108.72,91.21,8/26/2022
6,1090,1090,0,1199.23,1108.72,90.51,8/26/2022
7,1080,1080,0,1198.54,1108.72,89.82,8/26/2022
8,1060,1060,0,1197.83,1108.7,89.13,8/26/2022
9,1060,1060,0,1197.13,1108.68,88.45,8/26/2022
10,1060,1060,0,1196.41,1108.75,87.66,8/26/2022
11,1060,1060,0,1195.65,1108.76,86.89,8/26/2022
12,1070,1070,0,1194.88,1108.71,86.17,8/26/2022
13,1040,1040,0,1194.12,1108.7,85.42,8/26/2022
14,1040,1040,0,1193.36,1108.66,84.7,8/26/2022
15,1050,1050,0,1194.2,1108.68,85.52,8/26/2022
16,1050,1050,0,1195.23,1108.75,86.48,8/26/2022
17,1060,1060,0,1196.23,1108.72,87.51,8/26/2022
18,1080,1080,0,1197.21,1108.73,88.48,8/26/2022
19,1070,1070,0,1198.17,1108.72,89.45,8/26/2022
20,1060,1060,0,1199.11,1108.72,90.39,8/26/2022
21,1080,1080,0,1200.02,1108.73,91.29,8/26/2022
22,1090,1090,0,1200.88,1108.78,92.1,8/26/2022
23,1060,1060,0,1200.24,1108.68,91.56,8/26/2022
24,1070,1070,0,1200.19,1108.74,91.45,8/26/2022
,,,,,,,8/26/2022
AVG,1070,1070,0,1197.88,1108.73,89.15,8/26/2022
,,,,,,,8/26/2022
MAX,1110,1110,0,1200.88,1108.8,92.1,8/26/2022
MIN,1040,1040,0,1193.36,1108.66,84.7,8/26/2022
1,1100,1100,0,1200.32,1108.74,91.58,8/27/2022
2,1060,1060,0,1200.47,1108.69,91.78,8/27/2022
3,1090,1090,0,1200.61,1108.78,91.83,8/27/2022
4,1090,1090,0,1200.74,1108.74,92,8/27/2022
5,1080,1080,0,1200.01,1108.77,91.24,8/27/2022
6,1080,1080,0,1199.33,1108.79,90.54,8/27/2022
7,1080,1080,0,1198.63,1108.8,89.83,8/27/2022
8,1070,1070,0,1197.91,1108.75,89.16,8/27/2022
9,1070,1070,0,1197.2,1108.76,88.44,8/27/2022
10,1060,1060,0,1196.47,1108.74,87.73,8/27/2022
11,1100,1100,0,1195.7,1108.72,86.98,8/27/2022
12,1070,1070,0,1194.93,1108.75,86.18,8/27/2022
13,1070,1070,0,1194.15,1108.69,85.46,8/27/2022
14,1070,1070,0,1193.37,1108.8,84.57,8/27/2022
15,1060,1060,0,1194.2,1108.74,85.46,8/27/2022
16,1070,1070,0,1195.22,1108.71,86.51,8/27/2022
17,1080,1080,0,1196.22,1108.78,87.44,8/27/2022
18,1110,1110,0,1197.19,1108.78,88.41,8/27/2022
19,1090,1090,0,1198.14,1108.72,89.42,8/27/2022
20,1070,1070,0,1199.08,1108.72,90.36,8/27/2022
21,1070,1070,0,1199.99,1108.84,91.15,8/27/2022
22,1060,1060,0,1200.85,1108.78,92.07,8/27/2022
23,1090,1090,0,1200.19,1108.79,91.4,8/27/2022
24,1100,1100,0,1200.29,1108.81,91.48,8/27/2022
,,,,,,,8/27/2022
AVG,1079,1079,0,1197.97,1108.76,89.21,8/27/2022
,,,,,,,8/27/2022
MAX,1110,1110,0,1200.85,1108.84,92.07,8/27/2022
MIN,1060,1060,0,1193.37,1108.69,84.57,8/27/2022
1,1110,1110,0,1200.42,1108.82,91.6,8/28/2022
2,1100,1100,0,1200.54,1108.82,91.72,8/28/2022
3,1080,1080,0,1200.68,1108.78,91.9,8/28/2022
4,1070,1070,0,1200.81,1108.75,92.06,8/28/2022
5,1110,1110,0,1200.04,1108.74,91.3,8/28/2022
6,1100,1100,0,1199.36,1108.77,90.59,8/28/2022
7,1070,1070,0,1198.66,1108.78,89.88,8/28/2022
8,1060,1060,0,1197.95,1108.71,89.24,8/28/2022
9,1060,1060,0,1197.24,1108.73,88.51,8/28/2022
10,1070,1070,0,1196.5,1108.72,87.78,8/28/2022
11,1070,1070,0,1195.75,1108.72,87.03,8/28/2022
12,1080,1080,0,1194.96,1108.73,86.23,8/28/2022
13,1070,1070,0,1194.18,1108.71,85.47,8/28/2022
14,1070,1070,0,1193.39,1108.75,84.64,8/28/2022
15,1060,1060,0,1194.23,1108.73,85.5,8/28/2022
16,1070,1070,0,1195.24,1108.73,86.51,8/28/2022
17,1080,1080,0,1196.23,1108.73,87.5,8/28/2022
18,1090,1090,0,1197.2,1108.69,88.51,8/28/2022
19,1090,1090,0,1198.15,1108.74,89.41,8/28/2022
20,1060,1060,0,1199.08,1108.72,90.36,8/28/2022
21,1080,1080,0,1199.99,1108.75,91.24,8/28/2022
22,1090,1090,0,1200.84,1108.81,92.03,8/28/2022
23,1090,1090,0,1200.18,1108.8,91.38,8/28/2022
24,1090,1090,0,1200.01,1108.77,91.24,8/28/2022
,,,,,,,8/28/2022
AVG,1080,1080,0,1197.98,1108.75,89.23,8/28/2022
,,,,,,,8/28/2022
MAX,1110,1110,0,1200.84,1108.82,92.06,8/28/2022
MIN,1060,1060,0,1193.39,1108.69,84.64,8/28/2022
1,1100,1100,0,1200.13,1108.76,91.37,8/29/2022
2,1090,1090,0,1200.24,1108.8,91.44,8/29/2022
3,1090,1090,0,1200.37,1108.75,91.62,8/29/2022
4,1080,1080,0,1200.33,1108.76,91.57,8/29/2022
5,1080,1080,0,1199.65,1108.75,90.9,8/29/2022
6,1090,1090,0,1198.91,1108.75,90.16,8/29/2022
7,1080,1080,0,1198.2,1108.75,89.45,8/29/2022
8,1070,1070,0,1197.48,1108.77,88.71,8/29/2022
9,1070,1070,0,1196.76,1108.73,88.03,8/29/2022
10,1060,1060,0,1196.01,1108.69,87.32,8/29/2022
11,1080,1080,0,1195.23,1108.75,86.48,8/29/2022
12,1070,1070,0,1194.44,1108.71,85.73,8/29/2022
13,1060,1060,0,1193.65,1108.72,84.93,8/29/2022
14,1070,1070,0,1192.85,1108.73,84.12,8/29/2022
15,1070,1070,0,1193.73,1108.78,84.95,8/29/2022
16,1060,1060,0,1194.81,1108.75,86.06,8/29/2022
17,1090,1090,0,1195.86,1108.8,87.06,8/29/2022
18,1110,1110,0,1196.87,1108.78,88.09,8/29/2022
19,1100,1100,0,1197.81,1108.74,89.07,8/29/2022
20,1060,1060,0,1198.76,1108.71,90.05,8/29/2022
21,1070,1070,0,1199.68,1108.73,90.95,8/29/2022
22,1060,1060,0,1200.53,1108.77,91.76,8/29/2022
23,1080,1080,0,1199.89,1108.74,91.15,8/29/2022
24,1070,1070,0,1199.92,1108.76,91.16,8/29/2022
,,,,,,,8/29/2022
AVG,1078,1078,0,1197.59,1108.75,88.84,8/29/2022
,,,,,,,8/29/2022
