,Hour,Total Outflow kcfs,Generation Flow kcfs,Spill kcfs,Forebay Elevation,Tailwater Elevation,Average Head,Hope Gage Elevation,Date,0
4263,1,11.7,11.7,0.0,2061.6,2032.8,28.8,,2022-09-01,
4264,2,11.5,11.5,0.0,2061.6,2032.8,28.8,,2022-09-01,
4265,3,11.4,11.4,0.0,2061.6,2032.8,28.8,,2022-09-01,
4266,4,11.6,11.6,0.0,2061.7,2032.8,28.9,,2022-09-01,
4267,5,11.6,11.6,0.0,2061.7,2032.8,28.9,,2022-09-01,
4268,6,11.6,11.6,0.0,2061.7,2032.8,28.9,,2022-09-01,
4269,7,11.6,11.6,0.0,2061.6,2032.8,28.8,,2022-09-01,
4270,8,11.5,11.5,0.0,2061.6,2032.8,28.8,2062.2,2022-09-01,
4271,9,11.5,11.5,0.0,2061.6,2032.8,28.8,,2022-09-01,
4272,10,11.5,11.5,0.0,2061.6,2032.7,28.9,,2022-09-01,
4273,11,11.6,11.6,0.0,2061.6,2032.8,28.8,,2022-09-01,
4274,12,11.6,11.6,0.0,2061.6,2032.8,28.8,,2022-09-01,
4275,13,11.6,11.6,0.0,2061.6,2032.8,28.8,,2022-09-01,
4276,14,11.6,11.6,0.0,2061.6,2032.8,28.8,,2022-09-01,
4277,15,11.7,11.7,0.0,2061.6,2032.8,28.8,,2022-09-01,
4278,16,11.6,11.6,0.0,2061.7,2032.8,28.9,2062.2,2022-09-01,
4279,17,11.2,11.2,0.0,2061.6,2032.7,28.9,,2022-09-01,
4280,18,11.8,11.8,0.0,2061.6,2032.8,28.8,,2022-09-01,
4281,19,11.9,11.9,0.0,2061.6,2032.8,28.8,,2022-09-01,
4282,20,11.7,11.7,0.0,2061.7,2032.8,28.9,,2022-09-01,
4283,21,11.8,11.8,0.0,2061.7,2032.8,28.9,,2022-09-01,
4284,22,11.8,11.8,0.0,2061.7,2032.8,28.9,,2022-09-01,
4285,23,11.8,11.8,0.0,2061.7,2032.8,28.9,,2022-09-01,
4286,24,11.8,11.8,0.0,2061.7,2032.8,28.9,2062.31,2022-09-01,
4287,,,,,,,,,2022-09-01,
4288,AVG,11.62,11.62,0.0,2061.64,2032.79,28.85,2062.24,2022-09-01,
4289,,,,,,,,,2022-09-01,
4290,MAX,11.9,11.9,0.0,2061.7,2032.8,28.9,2062.31,2022-09-01,
4291,MIN,11.2,11.2,0.0,2061.6,2032.7,28.8,2062.2,2022-09-01,
4292,1,11.9,11.9,0.0,2061.7,2032.8,28.9,,2022-09-02,
4293,2,11.9,11.9,0.0,2061.7,2032.8,28.9,,2022-09-02,
4294,3,12.0,12.0,0.0,2061.7,2032.8,28.9,,2022-09-02,
4295,4,11.8,11.8,0.0,2061.7,2032.8,28.9,,2022-09-02,
4296,5,11.9,11.9,0.0,2061.7,2032.8,28.9,,2022-09-02,
4297,6,11.9,11.9,0.0,2061.7,2032.8,28.9,,2022-09-02,
4298,7,11.8,11.8,0.0,2061.7,2032.8,28.9,,2022-09-02,
4299,8,11.7,11.7,0.0,2061.7,2032.8,28.9,2062.26,2022-09-02,
4300,9,11.7,11.7,0.0,2061.7,2032.8,28.9,,2022-09-02,
4301,10,11.8,11.8,0.0,2061.7,2032.8,28.9,,2022-09-02,
4302,11,11.9,11.9,0.0,2061.8,2032.8,29.0,,2022-09-02,
4303,12,11.9,11.9,0.0,2061.8,2032.8,29.0,,2022-09-02,
4304,13,11.9,11.9,0.0,2061.7,2032.8,28.9,,2022-09-02,
4305,14,11.8,11.8,0.0,2061.7,2032.8,28.9,,2022-09-02,
4306,15,11.8,11.8,0.0,2061.7,2032.8,28.9,,2022-09-02,
4307,16,11.6,11.6,0.0,2061.7,2032.8,28.9,,2022-09-02,
4308,17,11.6,11.6,0.0,2061.7,2032.7,29.0,,2022-09-02,
4309,18,11.7,11.7,0.0,2061.7,2032.8,28.9,,2022-09-02,
4310,19,11.8,11.8,0.0,2061.7,2032.7,29.0,,2022-09-02,
4311,20,11.6,11.6,0.0,2061.7,2032.7,29.0,,2022-09-02,
4312,21,11.6,11.6,0.0,2061.7,2032.7,29.0,,2022-09-02,
4313,22,11.8,11.8,0.0,2061.7,2032.8,28.9,,2022-09-02,
4314,23,12.0,12.0,0.0,2061.7,2032.8,28.9,,2022-09-02,
4315,24,12.0,12.0,0.0,2061.7,2032.8,28.9,2062.27,2022-09-02,
4316,,,,,,,,,2022-09-02,
4317,AVG,11.81,11.81,0.0,2061.71,2032.78,28.92,2062.27,2022-09-02,
4318,,,,,,,,,2022-09-02,
4319,MAX,12.0,12.0,0.0,2061.8,2032.8,29.0,2062.27,2022-09-02,
4320,MIN,11.6,11.6,0.0,2061.7,2032.7,28.9,2062.26,2022-09-02,
4321,1,12.0,12.0,0.0,2061.7,2032.8,28.9,,2022-09-03,
4322,2,12.1,12.1,0.0,2061.7,2032.8,28.9,,2022-09-03,
4323,3,12.0,12.0,0.0,2061.7,2032.8,28.9,,2022-09-03,
4324,4,12.0,12.0,0.0,2061.7,2032.8,28.9,,2022-09-03,
4325,5,11.9,11.9,0.0,2061.7,2032.8,28.9,,2022-09-03,
4326,6,11.8,11.8,0.0,2061.7,2032.8,28.9,,2022-09-03,
4327,7,11.9,11.9,0.0,2061.7,2032.8,28.9,,2022-09-03,
4328,8,11.9,11.9,0.0,2061.7,2032.8,28.9,2062.21,2022-09-03,
4329,9,11.5,11.5,0.0,2061.7,2032.7,29.0,,2022-09-03,
4330,10,11.4,11.4,0.0,2061.7,2032.7,29.0,,2022-09-03,
4331,11,11.5,11.5,0.0,2061.6,2032.7,28.9,,2022-09-03,
4332,12,11.3,11.3,0.0,2061.6,2032.7,28.9,,2022-09-03,
4333,13,11.6,11.6,0.0,2061.6,2032.7,28.9,,2022-09-03,
4334,14,11.4,11.4,0.0,2061.6,2032.6,29.0,,2022-09-03,
4335,15,11.4,11.4,0.0,2061.6,2032.7,28.9,,2022-09-03,
4336,16,11.3,11.3,0.0,2061.6,2032.6,29.0,2062.2,2022-09-03,
4337,17,11.3,11.3,0.0,2061.4,2032.6,28.8,,2022-09-03,
4338,18,11.5,11.5,0.0,2061.7,2032.7,29.0,,2022-09-03,
4339,19,11.4,11.4,0.0,2061.4,2032.7,28.7,,2022-09-03,
4340,20,11.3,11.3,0.0,2061.7,2032.7,29.0,,2022-09-03,
4341,21,11.5,11.5,0.0,2061.7,2032.7,29.0,,2022-09-03,
4342,22,11.5,11.5,0.0,2061.7,2032.7,29.0,,2022-09-03,
4343,23,11.5,11.5,0.0,2061.7,2032.7,29.0,,2022-09-03,
4344,24,11.5,11.5,0.0,2061.6,2032.7,28.9,2062.22,2022-09-03,
4345,,,,,,,,,2022-09-03,
4346,AVG,11.6,11.6,0.0,2061.65,2032.72,28.92,2062.21,2022-09-03,
4347,,,,,,,,,2022-09-03,
4348,MAX,12.1,12.1,0.0,2061.7,2032.8,29.0,2062.22,2022-09-03,
4349,MIN,11.3,11.3,0.0,2061.4,2032.6,28.7,2062.2,2022-09-03,
4350,1,11.6,11.6,0.0,2061.6,2032.7,28.9,,2022-09-04,
4351,2,11.5,11.5,0.0,2061.7,2032.7,29.0,,2022-09-04,
4352,3,11.7,11.7,0.0,2061.7,2032.7,29.0,,2022-09-04,
4353,4,11.7,11.7,0.0,2061.7,2032.7,29.0,,2022-09-04,
4354,5,11.7,11.7,0.0,2061.7,2032.7,29.0,,2022-09-04,
4355,6,11.6,11.6,0.0,2061.6,2032.7,28.9,,2022-09-04,
4356,7,11.7,11.7,0.0,2061.7,2032.7,29.0,,2022-09-04,
4357,8,11.6,11.6,0.0,2061.7,2032.7,29.0,2062.2,2022-09-04,
4358,9,12.1,12.1,0.0,2061.6,2032.8,28.8,,2022-09-04,
4359,10,12.4,12.4,0.0,2061.6,2032.9,28.7,,2022-09-04,
4360,11,12.3,12.3,0.0,2061.6,2032.9,28.7,,2022-09-04,
4361,12,12.3,12.3,0.0,2061.6,2032.9,28.7,,2022-09-04,
4362,13,12.4,12.4,0.0,2061.7,2032.9,28.8,,2022-09-04,
4363,14,12.5,12.5,0.0,2061.7,2032.9,28.8,,2022-09-04,
4364,15,12.5,12.5,0.0,2061.7,2032.9,28.8,,2022-09-04,
4365,16,12.4,12.4,0.0,2061.7,2032.9,28.8,2062.2,2022-09-04,
4366,17,12.5,12.5,0.0,2061.6,2032.9,28.7,,2022-09-04,
4367,18,12.5,12.5,0.0,2061.7,2032.9,28.8,,2022-09-04,
4368,19,12.4,12.4,0.0,2061.6,2032.9,28.7,,2022-09-04,
4369,20,12.3,12.3,0.0,2061.7,2032.9,28.8,,2022-09-04,
4370,21,12.6,12.6,0.0,2061.7,2032.9,28.8,,2022-09-04,
4371,22,12.6,12.6,0.0,2061.7,2032.9,28.8,,2022-09-04,
4372,23,12.7,12.7,0.0,2061.7,2033.0,28.7,,2022-09-04,
4373,24,12.5,12.5,0.0,2061.7,2033.0,28.7,2062.28,2022-09-04,
4374,,,,,,,,,2022-09-04,
4375,AVG,12.17,12.17,0.0,2061.67,2032.84,28.83,2062.23,2022-09-04,
4376,,,,,,,,,2022-09-04,
4377,MAX,12.7,12.7,0.0,2061.7,2033.0,29.0,2062.28,2022-09-04,
4378,MIN,11.5,11.5,0.0,2061.6,2032.7,28.7,2062.2,2022-09-04,
4379,1,12.6,12.6,0.0,2061.7,2033.0,28.7,,2022-09-05,
4380,2,12.7,12.7,0.0,2061.7,2033.0,28.7,,2022-09-05,
4381,3,12.6,12.6,0.0,2061.7,2033.0,28.7,,2022-09-05,
4382,4,12.7,12.7,0.0,2061.7,2033.0,28.7,,2022-09-05,
4383,5,12.4,12.4,0.0,2061.7,2033.0,28.7,,2022-09-05,
4384,6,12.1,12.1,0.0,2061.7,2032.9,28.8,,2022-09-05,
4385,7,12.2,12.2,0.0,2061.6,2032.9,28.7,,2022-09-05,
4386,8,12.9,12.9,0.0,2061.6,2033.0,28.6,2062.22,2022-09-05,
4387,9,13.0,13.0,0.0,2061.6,2033.0,28.6,,2022-09-05,
4388,10,13.8,13.8,0.0,2061.6,2033.2,28.4,,2022-09-05,
4389,11,13.9,13.9,0.0,2061.6,2033.3,28.3,,2022-09-05,
4390,12,13.8,13.8,0.0,2061.6,2033.3,28.3,,2022-09-05,
4391,13,14.0,14.0,0.0,2061.6,2033.3,28.3,,2022-09-05,
4392,14,14.3,14.3,0.0,2061.5,2033.3,28.2,,2022-09-05,
4393,15,14.4,14.4,0.0,2061.5,2033.3,28.2,,2022-09-05,
4394,16,14.3,14.3,0.0,2061.6,2033.3,28.3,2062.18,2022-09-05,
4395,17,14.2,14.2,0.0,2061.5,2033.3,28.2,,2022-09-05,
4396,18,14.3,14.3,0.0,2061.6,2033.4,28.2,,2022-09-05,
4397,19,14.3,14.3,0.0,2061.6,2033.4,28.2,,2022-09-05,
4398,20,14.0,14.0,0.0,2061.6,2033.4,28.2,,2022-09-05,
4399,21,14.0,14.0,0.0,2061.7,2033.4,28.3,,2022-09-05,
4400,22,14.0,14.0,0.0,2061.7,2033.4,28.3,,2022-09-05,
4401,23,14.0,14.0,0.0,2061.7,2033.4,28.3,,2022-09-05,
4402,24,14.3,14.3,0.0,2061.6,2033.4,28.2,2062.23,2022-09-05,
4403,,,,,,,,,2022-09-05,
4404,AVG,13.53,13.53,0.0,2061.62,2033.2,28.42,2062.21,2022-09-05,
4405,,,,,,,,,2022-09-05,
4406,MAX,14.4,14.4,0.0,2061.7,2033.4,28.8,2062.23,2022-09-05,
4407,MIN,12.1,12.1,0.0,2061.5,2032.9,28.2,2062.18,2022-09-05,
4408,1,14.3,14.3,0.0,2061.6,2033.4,28.2,,2022-09-06,
4409,2,14.3,14.3,0.0,2061.6,2033.4,28.2,,2022-09-06,
4410,3,14.3,14.3,0.0,2061.6,2033.4,28.2,,2022-09-06,
4411,4,14.3,14.3,0.0,2061.6,2033.4,28.2,,2022-09-06,
4412,5,14.4,14.4,0.0,2061.6,2033.5,28.1,,2022-09-06,
4413,6,14.2,14.2,0.0,2061.6,2033.5,28.1,,2022-09-06,
4414,7,14.0,14.0,0.0,2061.6,2033.4,28.2,,2022-09-06,
4415,8,13.4,13.4,0.0,2061.6,2033.5,28.1,2062.2,2022-09-06,
4416,9,14.2,14.2,0.0,2061.6,2033.5,28.1,,2022-09-06,
4417,10,14.3,14.3,0.0,2061.6,2033.5,28.1,,2022-09-06,
4418,11,14.3,14.3,0.0,2061.7,2033.6,28.1,,2022-09-06,
4419,12,14.2,14.2,0.0,2061.6,2033.5,28.1,,2022-09-06,
4420,13,14.0,14.0,0.0,2061.6,2033.5,28.1,,2022-09-06,
4421,14,14.1,14.1,0.0,2061.6,2033.5,28.1,,2022-09-06,
4422,15,14.4,14.4,0.0,2061.6,2033.5,28.1,,2022-09-06,
4423,16,14.3,14.3,0.0,2061.6,2033.5,28.1,2062.17,2022-09-06,
4424,17,14.2,14.2,0.0,2061.6,2033.5,28.1,,2022-09-06,
4425,18,14.1,14.1,0.0,2061.6,2033.5,28.1,,2022-09-06,
4426,19,14.1,14.1,0.0,2061.6,2033.5,28.1,,2022-09-06,
4427,20,14.1,14.1,0.0,2061.7,2033.5,28.2,,2022-09-06,
4428,21,14.0,14.0,0.0,2061.7,2033.5,28.2,,2022-09-06,
4429,22,14.0,14.0,0.0,2061.7,2033.5,28.2,,2022-09-06,
4430,23,14.3,14.3,0.0,2061.7,2033.5,28.2,,2022-09-06,
4431,24,14.2,14.2,0.0,2061.7,2033.5,28.2,2062.29,2022-09-06,
4432,,,,,,,,,2022-09-06,
4433,AVG,14.17,14.17,0.0,2061.62,2033.48,28.14,2062.22,2022-09-06,
4434,,,,,,,,,2022-09-06,
4435,MAX,14.4,14.4,0.0,2061.7,2033.6,28.2,2062.29,2022-09-06,
4436,MIN,13.4,13.4,0.0,2061.6,2033.4,28.1,2062.17,2022-09-06,
4437,1,14.4,14.4,0.0,2061.7,2033.5,28.2,,2022-09-07,
4438,2,14.3,14.3,0.0,2061.7,2033.5,28.2,,2022-09-07,
4439,3,14.2,14.2,0.0,2061.7,2033.5,28.2,,2022-09-07,
4440,4,14.2,14.2,0.0,2061.7,2033.5,28.2,,2022-09-07,
4441,5,14.2,14.2,0.0,2061.7,2033.5,28.2,,2022-09-07,
4442,6,14.2,14.2,0.0,2061.6,2033.5,28.1,,2022-09-07,
4443,7,14.1,14.1,0.0,2061.6,2033.5,28.1,,2022-09-07,
4444,8,14.0,14.0,0.0,2061.6,2033.5,28.1,2062.22,2022-09-07,
4445,9,13.9,13.9,0.0,2061.6,2033.5,28.1,,2022-09-07,
4446,10,14.0,14.0,0.0,2061.6,2033.5,28.1,,2022-09-07,
4447,11,13.9,13.9,0.0,2061.6,2033.5,28.1,,2022-09-07,
4448,12,14.0,14.0,0.0,2061.6,2033.5,28.1,,2022-09-07,
4449,13,14.0,14.0,0.0,2061.6,2033.5,28.1,,2022-09-07,
4450,14,13.9,13.9,0.0,2061.6,2033.5,28.1,,2022-09-07,
4451,15,14.0,14.0,0.0,2061.6,2033.5,28.1,,2022-09-07,
4452,16,13.9,13.9,0.0,2061.6,2033.5,28.1,2062.18,2022-09-07,
4453,17,13.9,13.9,0.0,2061.6,2033.5,28.1,,2022-09-07,
4454,18,13.8,13.8,0.0,2061.6,2033.5,28.1,,2022-09-07,
4455,19,13.7,13.7,0.0,2061.6,2033.5,28.1,,2022-09-07,
4456,20,13.9,13.9,0.0,2061.6,2033.5,28.1,,2022-09-07,
4457,21,14.1,14.1,0.0,2061.6,2033.5,28.1,,2022-09-07,
4458,22,14.1,14.1,0.0,2061.6,2033.5,28.1,,2022-09-07,
4459,23,14.1,14.1,0.0,2061.6,2033.5,28.1,,2022-09-07,
4460,24,14.0,14.0,0.0,2061.6,2033.5,28.1,2062.23,2022-09-07,
4461,,,,,,,,,2022-09-07,
4462,AVG,14.03,14.03,0.0,2061.62,2033.5,28.12,2062.21,2022-09-07,
4463,,,,,,,,,2022-09-07,
4464,MAX,14.4,14.4,0.0,2061.7,2033.5,28.2,2062.23,2022-09-07,
4465,MIN,13.7,13.7,0.0,2061.6,2033.5,28.1,2062.18,2022-09-07,
4466,1,14.1,14.1,0.0,2061.6,2033.5,28.1,,2022-09-08,
4467,2,14.0,14.0,0.0,2061.6,2033.5,28.1,,2022-09-08,
4468,3,14.1,14.1,0.0,2061.6,2033.5,28.1,,2022-09-08,
4469,4,14.1,14.1,0.0,2061.6,2033.5,28.1,,2022-09-08,
4470,5,14.3,14.3,0.0,2061.6,2033.5,28.1,,2022-09-08,
4471,6,14.3,14.3,0.0,2061.5,2033.5,28.0,,2022-09-08,
4472,7,12.1,12.1,0.0,2061.6,2033.3,28.3,,2022-09-08,
4473,8,12.0,12.0,0.0,2061.6,2033.2,28.4,2062.17,2022-09-08,
4474,9,12.0,12.0,0.0,2061.6,2033.2,28.4,,2022-09-08,
4475,10,12.0,10.1,1.9,2061.6,2033.1,28.5,,2022-09-08,
4476,11,11.7,9.6,2.1,2061.6,2033.0,28.6,,2022-09-08,
4477,12,12.2,10.1,2.1,2061.6,2033.1,28.5,,2022-09-08,
4478,13,12.1,10.0,2.1,2061.7,2033.1,28.6,,2022-09-08,
4479,14,12.1,10.0,2.1,2061.7,2033.1,28.6,,2022-09-08,
4480,15,12.1,10.0,2.1,2061.6,2033.1,28.5,,2022-09-08,
4481,16,12.0,9.9,2.1,2061.6,2033.0,28.6,2062.17,2022-09-08,
4482,17,12.0,9.9,2.1,2061.6,2033.0,28.6,,2022-09-08,
4483,18,12.1,9.9,2.1,2061.6,2033.0,28.6,,2022-09-08,
4484,19,15.6,13.5,2.1,2061.5,2033.4,28.1,,2022-09-08,
4485,20,16.1,14.0,2.1,2061.5,2033.6,27.9,,2022-09-08,
4486,21,15.9,13.8,2.1,2061.6,2033.6,28.0,,2022-09-08,
4487,22,15.7,13.6,2.1,2061.6,2033.6,28.0,,2022-09-08,
4488,23,15.8,13.7,2.1,2061.6,2033.6,28.0,,2022-09-08,
4489,24,15.7,13.6,2.1,2061.6,2033.6,28.0,2062.21,2022-09-08,
4490,,,,,,,,,2022-09-08,
4491,AVG,13.5,12.2,1.3,2061.6,2033.32,28.28,2062.18,2022-09-08,
4492,,,,,,,,,2022-09-08,
4493,MAX,16.1,14.3,2.1,2061.7,2033.6,28.6,2062.21,2022-09-08,
4494,MIN,11.7,9.6,0.0,2061.5,2033.0,27.9,2062.17,2022-09-08,
4495,1,16.0,13.9,2.1,2061.6,2033.6,28.0,,2022-09-09,
4496,2,15.9,13.8,2.1,2061.6,2033.6,28.0,,2022-09-09,
4497,3,15.9,13.8,2.1,2061.6,2033.6,28.0,,2022-09-09,
4498,4,15.8,13.7,2.1,2061.6,2033.7,27.9,,2022-09-09,
4499,5,16.0,13.9,2.1,2061.5,2033.7,27.8,,2022-09-09,
4500,6,15.4,13.3,2.1,2061.6,2033.5,28.1,,2022-09-09,
4501,7,11.4,9.3,2.1,2061.6,2033.1,28.5,,2022-09-09,
4502,8,11.5,9.4,2.1,2061.7,2033.0,28.7,2062.11,2022-09-09,
4503,9,11.6,9.5,2.1,2061.7,2033.0,28.7,,2022-09-09,
4504,10,11.7,9.6,2.1,2061.6,2033.0,28.6,,2022-09-09,
4505,11,11.0,8.9,2.1,2061.8,2032.8,29.0,,2022-09-09,
4506,12,10.2,8.0,2.2,2061.8,2032.6,29.2,,2022-09-09,
4507,13,10.3,8.1,2.2,2061.8,2032.6,29.2,,2022-09-09,
4508,14,10.1,8.0,2.1,2061.7,2032.5,29.2,,2022-09-09,
4509,15,10.1,8.0,2.1,2061.7,2032.5,29.2,,2022-09-09,
4510,16,10.1,8.0,2.1,2061.7,2032.5,29.2,2062.16,2022-09-09,
4511,17,10.2,8.1,2.1,2061.7,2032.5,29.2,,2022-09-09,
4512,18,11.6,9.5,2.1,2061.7,2032.7,29.0,,2022-09-09,
4513,19,12.8,10.7,2.1,2061.6,2032.9,28.7,,2022-09-09,
4514,20,13.0,10.9,2.1,2061.6,2033.0,28.6,,2022-09-09,
4515,21,14.1,12.0,2.1,2061.6,2033.1,28.5,,2022-09-09,
4516,22,14.0,11.9,2.1,2061.7,2033.1,28.6,,2022-09-09,
4517,23,14.0,11.9,2.1,2061.7,2033.1,28.6,,2022-09-09,
4518,24,13.9,11.8,2.1,2061.6,2033.1,28.5,2062.18,2022-09-09,
4519,,,,,,,,,2022-09-09,
4520,AVG,12.77,10.67,2.11,2061.66,2033.03,28.62,2062.15,2022-09-09,
4521,,,,,,,,,2022-09-09,
4522,MAX,16.0,13.9,2.2,2061.8,2033.7,29.2,2062.18,2022-09-09,
4523,MIN,10.1,8.0,2.1,2061.5,2032.5,27.8,2062.11,2022-09-09,
4524,1,14.0,11.9,2.1,2061.6,2033.1,28.5,,2022-09-10,
4525,2,14.0,11.9,2.1,2061.6,2033.2,28.4,,2022-09-10,
4526,3,14.0,11.9,2.1,2061.6,2033.2,28.4,,2022-09-10,
4527,4,14.0,11.9,2.1,2061.7,2033.1,28.6,,2022-09-10,
4528,5,14.0,11.9,2.1,2061.6,2033.2,28.4,,2022-09-10,
4529,6,12.2,10.1,2.1,2061.7,2032.9,28.8,,2022-09-10,
4530,7,10.1,8.0,2.1,2061.7,2032.6,29.1,,2022-09-10,
4531,8,9.9,7.8,2.1,2061.6,2032.5,29.1,2062.12,2022-09-10,
4532,9,9.9,7.8,2.1,2061.6,2032.5,29.1,,2022-09-10,
4533,10,9.8,7.7,2.1,2061.6,2032.4,29.2,,2022-09-10,
4534,11,9.7,7.6,2.1,2061.7,2032.4,29.3,,2022-09-10,
4535,12,9.8,7.7,2.1,2061.7,2032.3,29.4,,2022-09-10,
4536,13,9.8,7.7,2.1,2061.7,2032.3,29.4,,2022-09-10,
4537,14,9.8,7.7,2.1,2061.7,2032.3,29.4,,2022-09-10,
4538,15,9.9,7.8,2.1,2061.7,2032.3,29.4,,2022-09-10,
4539,16,9.9,7.8,2.1,2061.7,2032.3,29.4,2062.14,2022-09-10,
4540,17,9.9,7.8,2.1,2061.7,2032.3,29.4,,2022-09-10,
4541,18,11.2,9.1,2.1,2061.7,2032.4,29.3,,2022-09-10,
4542,19,12.9,10.8,2.1,2061.6,2032.8,28.8,,2022-09-10,
4543,20,14.2,12.1,2.1,2061.6,2033.0,28.6,,2022-09-10,
4544,21,14.3,12.2,2.1,2061.6,2033.0,28.6,,2022-09-10,
4545,22,13.8,11.7,2.1,2061.7,2033.0,28.7,,2022-09-10,
4546,23,13.8,11.7,2.1,2061.7,2033.0,28.7,,2022-09-10,
4547,24,14.1,12.0,2.1,2061.6,2033.1,28.5,2062.18,2022-09-10,
4548,,,,,,,,,2022-09-10,
4549,AVG,11.88,9.78,2.1,2061.65,2032.72,28.94,2062.15,2022-09-10,
4550,,,,,,,,,2022-09-10,
4551,MAX,14.3,12.2,2.1,2061.7,2033.2,29.4,2062.18,2022-09-10,
4552,MIN,9.7,7.6,2.1,2061.6,2032.3,28.4,2062.12,2022-09-10,
4553,1,14.3,12.2,2.1,2061.6,2033.1,28.5,,2022-09-11,
4554,2,13.9,11.8,2.1,2061.6,2033.1,28.5,,2022-09-11,
4555,3,13.9,11.8,2.1,2061.6,2033.1,28.5,,2022-09-11,
4556,4,13.8,11.7,2.1,2061.7,2033.1,28.6,,2022-09-11,
4557,5,13.9,11.8,2.1,2061.6,2033.1,28.5,,2022-09-11,
4558,6,12.6,10.5,2.1,2061.6,2032.9,28.7,,2022-09-11,
4559,7,10.2,8.1,2.1,2061.7,2032.5,29.2,,2022-09-11,
4560,8,10.1,8.0,2.1,2061.7,2032.5,29.2,2062.14,2022-09-11,
4561,9,10.1,8.0,2.1,2061.6,2032.4,29.2,,2022-09-11,
4562,10,10.1,8.0,2.1,2061.6,2032.4,29.2,,2022-09-11,
4563,11,10.1,8.0,2.1,2061.6,2032.3,29.3,,2022-09-11,
4564,12,9.8,7.7,2.1,2061.7,2032.3,29.4,,2022-09-11,
4565,13,9.7,7.6,2.1,2061.7,2032.2,29.5,,2022-09-11,
4566,14,9.8,7.7,2.1,2061.7,2032.2,29.5,,2022-09-11,
4567,15,9.9,7.7,2.1,2061.7,2032.2,29.5,,2022-09-11,
4568,16,9.8,7.7,2.1,2061.7,2032.2,29.5,2062.13,2022-09-11,
4569,17,9.8,7.7,2.1,2061.6,2032.2,29.4,,2022-09-11,
4570,18,11.7,9.6,2.1,2061.6,2032.5,29.1,,2022-09-11,
4571,19,11.4,13.5,2.1,2061.5,2032.8,28.7,,2022-09-11,
4572,20,14.2,12.1,2.1,2061.6,2033.0,28.6,,2022-09-11,
4573,21,13.8,11.7,2.1,2061.6,2032.9,28.7,,2022-09-11,
4574,22,13.8,11.7,2.1,2061.6,2033.0,28.6,,2022-09-11,
4575,23,14.1,12.0,2.1,2061.6,2033.0,28.6,,2022-09-11,
4576,24,14.1,12.0,2.1,2061.5,2033.1,28.4,2062.12,2022-09-11,
4577,,,,,,,,,2022-09-11,
4578,AVG,11.87,9.94,2.1,2061.62,2032.67,28.95,2062.13,2022-09-11,
4579,,,,,,,,,2022-09-11,
4580,MAX,14.3,13.5,2.1,2061.7,2033.1,29.5,2062.14,2022-09-11,
4581,MIN,9.7,7.6,2.1,2061.5,2032.2,28.4,2062.12,2022-09-11,
4582,1,14.1,12.0,2.1,2061.6,2033.1,28.5,,2022-09-12,
4583,2,14.0,11.9,2.1,2061.6,2033.1,28.5,,2022-09-12,
4584,3,14.0,11.9,2.1,2061.6,2033.1,28.5,,2022-09-12,
4585,4,14.1,12.0,2.1,2061.6,2033.1,28.5,,2022-09-12,
4586,5,14.1,12.0,2.1,2061.6,2033.1,28.5,,2022-09-12,
4587,6,13.6,11.5,2.1,2061.6,2032.9,28.7,,2022-09-12,
4588,7,10.9,8.8,2.1,2061.6,2032.6,29.0,,2022-09-12,
4589,8,9.0,7.9,1.1,2061.7,2032.3,29.4,2062.05,2022-09-12,
4590,9,8.0,8.0,0.0,2061.6,2032.2,29.4,,2022-09-12,
4591,10,8.1,8.1,0.0,2061.6,2032.1,29.5,,2022-09-12,
4592,11,8.0,8.0,0.0,2061.6,2032.1,29.5,,2022-09-12,
4593,12,8.1,8.1,0.0,2061.6,2032.1,29.5,,2022-09-12,
4594,13,8.2,8.2,0.0,2061.6,2032.0,29.6,,2022-09-12,
4595,14,8.1,8.1,0.0,2061.6,2032.0,29.6,,2022-09-12,
4596,15,8.1,8.1,0.0,2061.6,2032.0,29.6,,2022-09-12,
4597,16,8.1,8.1,0.0,2061.6,2031.9,29.7,2062.05,2022-09-12,
4598,17,8.2,8.2,0.0,2061.6,2031.9,29.7,,2022-09-12,
4599,18,8.2,8.2,0.0,2061.6,2031.9,29.7,,2022-09-12,
4600,19,8.0,8.0,0.0,2061.6,2031.9,29.7,,2022-09-12,
4601,20,8.0,8.0,0.0,2061.6,2031.8,29.8,,2022-09-12,
4602,21,8.0,8.0,0.0,2061.6,2031.8,29.8,,2022-09-12,
4603,22,8.0,8.0,0.0,2061.6,2031.8,29.8,,2022-09-12,
4604,23,8.0,8.0,0.0,2061.7,2031.8,29.9,,2022-09-12,
4605,24,8.0,8.0,0.0,2061.6,2031.8,29.8,2062.16,2022-09-12,
4606,,,,,,,,,2022-09-12,
4607,AVG,9.7,9.05,0.66,2061.61,2032.27,29.34,2062.09,2022-09-12,
4608,,,,,,,,,2022-09-12,
4609,MAX,14.1,12.0,2.1,2061.7,2033.1,29.9,2062.16,2022-09-12,
4610,MIN,8.0,7.9,0.0,2061.6,2031.8,28.5,2062.05,2022-09-12,
4611,1,8.0,8.0,0.0,2061.6,2031.7,29.9,,2022-09-13,
4612,2,8.0,8.0,0.0,2061.6,2031.7,29.9,,2022-09-13,
4613,3,8.0,8.0,0.0,2061.6,2031.7,29.9,,2022-09-13,
