,Hour,Total Outflow kcfs,Generation Flow kcfs,Spill kcfs,Forebay Elevation,Tailwater Elevation,Average Head,Nav Lock Tailwater Elevation,Date,0
1847,21,149.4,37.1,110.3,439.19,349.16,90.03,349.02,2022-06-09,
1848,22,163.6,52.2,110.9,439.33,350.4,88.93,350.49,2022-06-09,
1849,23,183.4,64.9,118.0,439.23,351.17,88.06,350.86,2022-06-09,
1850,24,185.5,67.2,117.8,439.23,351.33,87.9,351.08,2022-06-09,
1851,,,,,,,,,2022-06-09,
1852,AVG,135.74,25.46,109.66,438.04,347.81,90.23,348.05,2022-06-09,
1853,,,,,,,,,2022-06-09,
1854,MAX,185.5,67.2,118.0,439.33,351.33,92.53,351.08,2022-06-09,
1855,MIN,110.2,10.5,99.1,437.24,345.94,87.17,346.22,2022-06-09,
1856,1,185.4,67.2,117.6,438.98,351.25,87.73,351.35,2022-06-10,
1857,2,187.0,67.3,117.7,438.78,351.45,87.33,351.28,2022-06-10,
1858,3,185.6,67.4,117.6,438.73,351.42,87.31,351.27,2022-06-10,
1859,4,184.5,67.3,116.8,438.41,351.0,87.41,350.85,2022-06-10,
1860,5,171.3,60.7,110.0,438.38,350.28,88.1,350.33,2022-06-10,
1861,6,150.6,40.7,109.5,438.03,348.73,89.3,349.18,2022-06-10,
1862,7,149.2,38.2,109.0,438.0,348.62,89.38,348.91,2022-06-10,
1863,8,140.6,30.2,108.4,437.48,347.66,89.82,348.17,2022-06-10,
1864,9,121.5,11.4,108.1,437.43,346.91,90.52,347.16,2022-06-10,
1865,10,104.0,11.0,92.5,437.28,345.42,91.86,345.72,2022-06-10,
1866,11,100.4,11.0,87.5,437.28,344.73,92.55,345.09,2022-06-10,
1867,12,90.6,10.8,77.8,437.45,344.77,92.68,345.18,2022-06-10,
1868,13,90.5,10.6,77.9,437.47,344.22,93.25,344.74,2022-06-10,
1869,14,95.7,10.4,83.3,437.85,345.3,92.55,345.6,2022-06-10,
1870,15,115.1,10.6,102.5,438.09,346.49,91.6,346.83,2022-06-10,
1871,16,123.2,12.5,110.1,438.54,346.79,91.75,347.29,2022-06-10,
1872,17,131.8,20.4,110.9,438.74,347.71,91.03,347.83,2022-06-10,
1873,18,139.7,26.8,110.9,439.38,348.14,91.24,348.28,2022-06-10,
1874,19,149.5,37.1,110.4,439.58,348.99,90.59,349.06,2022-06-10,
1875,20,172.0,61.2,110.3,439.63,350.47,89.16,350.37,2022-06-10,
1876,21,177.3,66.7,110.1,439.64,350.76,88.88,350.75,2022-06-10,
1877,22,178.1,67.2,110.4,439.71,350.82,88.89,350.72,2022-06-10,
1878,23,189.4,67.2,121.7,439.62,351.71,87.91,351.68,2022-06-10,
1879,24,195.7,67.2,128.0,439.63,351.82,87.81,351.77,2022-06-10,
1880,,,,,,,,,2022-06-10,
1881,AVG,147.03,39.21,106.62,438.5,348.56,89.94,348.73,2022-06-10,
1882,,,,,,,,,2022-06-10,
1883,MAX,195.7,67.4,128.0,439.71,351.82,93.25,351.77,2022-06-10,
1884,MIN,90.5,10.4,77.8,437.28,344.22,87.31,344.74,2022-06-10,
1885,1,195.8,67.6,127.7,439.51,351.89,87.62,351.66,2022-06-11,
1886,2,195.4,67.2,127.8,439.51,351.87,87.64,351.59,2022-06-11,
1887,3,195.8,67.6,127.8,439.45,351.94,87.51,351.76,2022-06-11,
1888,4,195.4,67.4,127.5,439.49,352.06,87.43,351.54,2022-06-11,
1889,5,177.3,66.3,110.5,439.68,350.32,89.36,350.43,2022-06-11,
1890,6,163.5,53.1,110.0,439.31,349.84,89.47,349.88,2022-06-11,
1891,7,149.1,39.6,109.1,438.86,348.7,90.16,348.88,2022-06-11,
1892,8,137.8,29.2,108.2,438.47,347.77,90.7,348.22,2022-06-11,
1893,9,123.5,15.5,107.5,438.21,346.78,91.43,347.24,2022-06-11,
1894,10,118.0,10.5,107.0,437.99,346.63,91.36,347.01,2022-06-11,
1895,11,117.6,10.5,106.6,437.84,346.74,91.1,346.84,2022-06-11,
1896,12,117.5,10.6,106.4,437.67,346.61,91.06,347.03,2022-06-11,
1897,13,118.6,10.6,107.5,437.45,346.69,90.76,347.27,2022-06-11,
1898,14,121.8,10.9,110.4,438.32,346.93,91.39,347.25,2022-06-11,
1899,15,142.0,31.3,110.2,437.99,348.47,89.52,348.68,2022-06-11,
1900,16,147.4,36.0,110.9,438.71,348.65,90.06,348.94,2022-06-11,
1901,17,157.8,46.8,110.5,438.95,350.08,88.87,349.92,2022-06-11,
1902,18,177.8,66.4,110.8,439.54,350.98,88.56,350.74,2022-06-11,
1903,19,198.7,67.4,130.8,439.52,352.58,86.94,352.52,2022-06-11,
1904,20,221.2,67.6,151.6,439.38,353.67,85.71,353.46,2022-06-11,
1905,21,238.2,67.7,170.0,439.46,354.28,85.18,354.14,2022-06-11,
1906,22,238.0,67.7,169.8,439.36,354.29,85.07,354.25,2022-06-11,
1907,23,238.0,67.6,169.9,439.29,354.31,84.98,354.27,2022-06-11,
1908,24,237.7,67.4,169.8,439.32,354.28,85.04,354.29,2022-06-11,
1909,,,,,,,,,2022-06-11,
1910,AVG,171.83,46.35,124.93,438.89,350.26,88.62,350.33,2022-06-11,
1911,,,,,,,,,2022-06-11,
1912,MAX,238.2,67.7,170.0,439.68,354.31,91.43,354.29,2022-06-11,
1913,MIN,117.5,10.5,106.4,437.45,346.61,84.98,346.84,2022-06-11,
1914,1,237.6,67.5,169.6,439.23,354.29,84.94,354.3,2022-06-12,
1915,2,237.5,67.5,169.5,439.16,354.18,84.98,354.16,2022-06-12,
1916,3,236.4,67.4,168.6,439.27,353.87,85.4,353.73,2022-06-12,
1917,4,222.2,67.7,153.9,439.12,353.19,85.93,352.9,2022-06-12,
1918,5,212.8,67.3,145.0,439.19,352.99,86.2,352.68,2022-06-12,
1919,6,213.1,67.2,145.4,439.25,353.07,86.18,352.98,2022-06-12,
1920,7,217.2,67.0,145.2,439.13,353.05,86.08,352.75,2022-06-12,
1921,8,214.2,67.3,144.9,438.99,352.98,86.01,352.77,2022-06-12,
1922,9,215.6,67.4,144.7,438.86,353.1,85.76,352.62,2022-06-12,
1923,10,211.3,67.5,141.7,438.87,352.52,86.35,352.37,2022-06-12,
1924,11,199.0,66.7,130.2,438.99,352.26,86.73,351.92,2022-06-12,
1925,12,197.5,66.7,130.3,438.97,352.14,86.83,351.94,2022-06-12,
1926,13,197.3,66.3,130.5,439.0,352.09,86.91,351.93,2022-06-12,
1927,14,203.8,66.8,130.5,439.07,352.22,86.85,351.74,2022-06-12,
1928,15,198.1,67.0,130.6,439.1,352.13,86.97,351.99,2022-06-12,
1929,16,198.1,66.8,130.8,439.16,352.18,86.98,352.11,2022-06-12,
1930,17,201.4,66.9,134.0,439.12,352.61,86.51,1310.71,2022-06-12,
1931,18,208.4,67.1,140.7,439.07,352.65,86.42,1310.71,2022-06-12,
1932,19,207.9,67.1,140.2,439.04,352.7,86.34,352.38,2022-06-12,
1933,20,208.0,67.3,140.2,439.04,352.79,86.25,1310.71,2022-06-12,
1934,21,207.3,66.7,140.1,439.01,352.71,86.3,352.45,2022-06-12,
1935,22,207.6,67.0,140.1,438.94,352.71,86.23,1310.71,2022-06-12,
1936,23,207.2,66.9,139.9,438.89,352.8,86.09,353.3,2022-06-12,
1937,24,207.6,67.4,139.7,438.81,352.67,86.14,1310.71,2022-06-12,
1938,,,,,,,,,2022-06-12,
1939,AVG,211.13,67.1,142.76,439.05,352.83,86.22,552.27,2022-06-12,
1940,,,,,,,,,2022-06-12,
1941,MAX,237.6,67.7,169.6,439.27,354.29,86.98,1310.71,2022-06-12,
1942,MIN,197.3,66.3,130.2,438.81,352.09,84.94,351.74,2022-06-12,
1943,1,207.6,67.4,139.7,438.63,352.6,86.03,1310.71,2022-06-13,
1944,2,207.8,67.6,139.7,438.51,352.73,85.78,1310.71,2022-06-13,
1945,3,208.0,67.7,139.8,438.34,352.52,85.82,1310.71,2022-06-13,
1946,4,207.7,67.5,139.7,438.21,352.45,85.76,1310.71,2022-06-13,
1947,5,200.7,67.6,132.6,438.12,352.16,85.96,1310.71,2022-06-13,
1948,6,200.3,67.7,132.2,438.18,352.3,85.88,1310.71,2022-06-13,
1949,7,200.4,67.8,132.1,438.16,352.1,86.06,1310.71,2022-06-13,
1950,8,200.0,67.4,132.1,438.16,352.22,85.94,1310.71,2022-06-13,
1951,9,200.2,67.6,132.0,438.11,352.2,85.91,1310.71,2022-06-13,
1952,10,200.0,67.6,131.8,437.94,352.22,85.72,1310.71,2022-06-13,
1953,11,199.6,67.7,131.4,437.82,352.05,85.77,1310.71,2022-06-13,
1954,12,195.7,55.7,139.6,437.71,351.9,85.81,1310.71,2022-06-13,
1955,13,194.0,53.5,140.1,437.71,351.78,85.93,351.5,2022-06-13,
1956,14,194.0,53.5,140.0,437.71,351.85,85.86,351.66,2022-06-13,
1957,15,194.0,53.5,139.9,437.7,351.79,85.91,351.68,2022-06-13,
1958,16,199.4,62.7,136.1,437.59,352.06,85.53,351.64,2022-06-13,
1959,17,197.9,67.5,129.9,437.53,352.13,85.4,351.86,2022-06-13,
1960,18,198.0,67.7,129.8,437.48,352.04,85.44,351.56,2022-06-13,
1961,19,198.5,67.6,130.3,437.8,352.1,85.7,,2022-06-13,
1962,20,198.5,67.7,130.3,437.86,352.05,85.81,,2022-06-13,
1963,21,199.6,67.7,130.4,437.96,352.13,85.83,351.96,2022-06-13,
1964,22,198.1,67.1,130.4,438.12,351.96,86.16,351.79,2022-06-13,
1965,23,208.9,67.7,140.8,437.98,352.87,85.11,,2022-06-13,
1966,24,,,,438.0,,,,2022-06-13,
1967,,,,,,,,,2022-06-13,
1968,AVG,200.39,65.02,134.81,437.97,352.18,85.79,927.11,2022-06-13,
1969,,,,,,,,,2022-06-13,
1970,MAX,208.9,67.8,140.8,438.63,352.87,86.16,1310.71,2022-06-13,
1971,MIN,194.0,53.5,129.8,437.48,351.78,85.11,351.5,2022-06-13,
1972,1,213.0,67.3,145.2,438.02,352.89,85.13,,2022-06-14,
1973,2,213.2,67.6,145.1,438.02,352.79,85.23,352.4,2022-06-14,
1974,3,213.2,67.6,145.1,438.0,352.91,85.09,1310.71,2022-06-14,
1975,4,213.0,67.5,145.0,437.99,352.77,85.22,1310.71,2022-06-14,
1976,5,213.3,67.8,144.9,437.95,352.82,85.13,1310.71,2022-06-14,
1977,6,213.1,67.7,144.9,437.96,352.78,85.18,1310.71,2022-06-14,
1978,7,214.1,67.3,144.8,437.84,352.79,85.05,1310.71,2022-06-14,
1979,8,212.3,67.1,144.7,437.84,352.76,85.08,353.44,2022-06-14,
1980,9,212.3,67.2,144.6,437.85,352.76,85.09,352.45,2022-06-14,
1981,10,211.9,66.9,144.5,437.87,352.84,85.03,352.52,2022-06-14,
1982,11,211.9,66.8,144.5,437.79,352.83,84.96,352.66,2022-06-14,
1983,12,211.9,66.9,144.5,437.84,352.84,85.0,352.5,2022-06-14,
1984,13,211.9,66.7,144.6,437.84,352.73,85.11,352.35,2022-06-14,
1985,14,213.7,67.0,144.7,437.86,352.89,84.97,352.59,2022-06-14,
1986,15,212.0,66.8,144.7,437.82,352.75,85.07,352.69,2022-06-14,
1987,16,212.1,66.9,144.7,437.78,352.74,85.04,352.57,2022-06-14,
1988,17,210.6,67.0,143.1,437.85,352.37,85.48,352.19,2022-06-14,
1989,18,202.1,66.6,135.0,437.92,352.28,85.64,351.98,2022-06-14,
1990,19,201.7,66.4,134.8,437.81,352.1,85.71,352.0,2022-06-14,
1991,20,201.6,66.2,135.0,437.87,352.22,85.65,352.14,2022-06-14,
1992,21,201.7,66.3,134.9,437.82,352.12,85.7,352.1,2022-06-14,
1993,22,201.7,66.4,134.8,437.81,352.21,85.6,351.96,2022-06-14,
1994,23,201.4,66.2,134.7,437.73,352.21,85.52,352.17,2022-06-14,
1995,24,201.1,65.9,134.7,437.73,352.05,85.68,351.85,2022-06-14,
1996,,,,,,,,,2022-06-14,
1997,AVG,209.37,66.92,141.81,437.87,352.6,85.27,560.7,2022-06-14,
1998,,,,,,,,,2022-06-14,
1999,MAX,214.1,67.8,145.2,438.02,352.91,85.71,1310.71,2022-06-14,
2000,MIN,201.1,65.9,134.7,437.73,352.05,84.96,351.85,2022-06-14,
2001,1,201.9,66.6,134.8,437.68,352.14,85.54,351.84,2022-06-15,
2002,2,201.4,66.2,134.8,437.68,352.22,85.46,351.79,2022-06-15,
2003,3,201.5,66.4,134.7,437.62,352.18,85.44,351.92,2022-06-15,
2004,4,201.4,66.6,134.3,437.66,352.06,85.6,351.67,2022-06-15,
2005,5,194.9,66.4,128.0,437.58,351.79,85.79,351.47,2022-06-15,
2006,6,194.8,66.4,127.9,437.6,351.9,85.7,351.58,2022-06-15,
2007,7,194.0,65.5,127.9,437.59,351.72,85.87,351.6,2022-06-15,
2008,8,194.0,65.7,127.8,437.47,351.77,85.7,351.52,2022-06-15,
2009,9,193.5,65.4,127.6,437.52,351.74,85.78,351.6,2022-06-15,
2010,10,175.5,65.1,109.9,437.38,350.71,86.67,350.56,2022-06-15,
2011,11,174.8,64.6,109.6,437.48,350.81,86.67,350.58,2022-06-15,
2012,12,173.5,63.2,109.8,437.59,350.61,86.98,350.47,2022-06-15,
2013,13,173.1,62.7,109.9,437.58,350.61,86.97,350.56,2022-06-15,
2014,14,172.9,62.5,109.9,437.63,350.52,87.11,350.23,2022-06-15,
2015,15,177.1,66.7,109.9,437.59,350.82,86.77,350.48,2022-06-15,
2016,16,178.9,66.9,110.0,437.71,350.88,86.83,350.71,2022-06-15,
2017,17,177.2,66.7,110.0,437.76,351.09,86.67,351.15,2022-06-15,
2018,18,177.6,67.1,110.0,437.79,350.88,86.91,350.72,2022-06-15,
2019,19,177.5,66.9,110.1,437.73,350.85,86.88,350.67,2022-06-15,
2020,20,178.9,66.8,110.1,437.88,350.94,86.94,350.81,2022-06-15,
2021,21,177.4,66.7,110.2,437.88,350.83,87.05,350.65,2022-06-15,
2022,22,177.7,66.7,110.5,438.15,350.79,87.36,350.71,2022-06-15,
2023,23,177.3,66.1,110.8,438.12,350.75,87.37,350.57,2022-06-15,
2024,24,177.3,66.1,110.7,438.04,350.92,87.12,350.81,2022-06-15,
2025,,,,,,,,,2022-06-15,
2026,AVG,184.34,65.83,117.88,437.7,351.23,86.47,351.03,2022-06-15,
2027,,,,,,,,,2022-06-15,
2028,MAX,201.9,67.1,134.8,438.15,352.22,87.37,351.92,2022-06-15,
2029,MIN,172.9,62.5,109.6,437.38,350.52,85.44,350.23,2022-06-15,
2030,1,176.4,65.7,110.1,438.09,350.58,87.51,350.55,2022-06-16,
2031,2,165.5,53.2,110.3,438.08,349.86,88.22,349.83,2022-06-16,
2032,3,153.0,42.2,110.4,438.18,348.92,89.26,349.24,2022-06-16,
2033,4,137.4,26.3,110.6,438.23,347.68,90.55,348.17,2022-06-16,
2034,5,121.2,10.7,110.1,438.06,346.96,91.1,347.35,2022-06-16,
2035,6,121.0,10.6,109.9,438.09,346.7,91.39,347.12,2022-06-16,
2036,7,121.1,10.7,109.9,438.18,346.84,91.34,347.17,2022-06-16,
2037,8,121.1,10.6,109.9,438.08,346.82,91.26,347.36,2022-06-16,
2038,9,121.2,10.6,110.1,438.23,346.76,91.47,347.25,2022-06-16,
2039,10,122.8,10.6,110.2,438.22,346.68,91.54,347.52,2022-06-16,
2040,11,121.3,10.7,110.2,438.23,346.98,91.25,347.16,2022-06-16,
2041,12,121.6,10.8,110.3,438.26,347.02,91.24,347.34,2022-06-16,
2042,13,132.9,22.4,110.1,438.15,347.57,90.58,347.81,2022-06-16,
2043,14,136.7,25.9,110.2,438.3,348.19,90.11,348.39,2022-06-16,
2044,15,150.1,38.0,110.2,438.22,348.8,89.42,349.01,2022-06-16,
2045,16,163.5,51.4,110.1,438.31,349.96,88.35,349.82,2022-06-16,
2046,17,172.5,56.4,115.7,438.2,350.48,87.72,350.46,2022-06-16,
2047,18,173.4,62.7,110.2,438.33,350.7,87.63,350.48,2022-06-16,
2048,19,175.4,63.0,110.4,438.41,350.58,87.83,350.44,2022-06-16,
2049,20,174.5,63.3,110.7,438.54,350.8,87.74,350.39,2022-06-16,
2050,21,174.2,62.8,110.9,438.6,350.63,87.97,350.42,2022-06-16,
2051,22,174.2,62.7,111.0,438.75,350.53,88.22,350.37,2022-06-16,
2052,23,173.4,62.9,110.0,438.83,350.45,88.38,350.44,2022-06-16,
2053,24,174.6,62.4,110.2,438.94,350.72,88.22,350.65,2022-06-16,
2054,,,,,,,,,2022-06-16,
2055,AVG,149.12,37.77,110.49,438.31,348.8,89.51,348.95,2022-06-16,
2056,,,,,,,,,2022-06-16,
2057,MAX,176.4,65.7,115.7,438.94,350.8,91.54,350.65,2022-06-16,
2058,MIN,121.0,10.6,109.9,438.06,346.68,87.51,347.12,2022-06-16,
2059,1,173.3,62.4,110.4,439.07,350.51,88.56,350.54,2022-06-17,
2060,2,172.8,62.4,110.0,439.14,350.5,88.64,350.46,2022-06-17,
2061,3,173.1,62.4,110.2,439.24,350.72,88.52,350.54,2022-06-17,
2062,4,173.0,62.2,110.3,439.31,350.42,88.89,350.4,2022-06-17,
2063,5,160.0,49.2,110.3,439.21,349.6,89.61,349.78,2022-06-17,
2064,6,145.5,35.9,109.1,438.41,348.47,89.94,348.65,2022-06-17,
2065,7,133.5,24.5,108.5,438.32,347.59,90.73,348.12,2022-06-17,
2066,8,130.5,22.1,107.9,438.09,347.49,90.6,347.69,2022-06-17,
2067,9,120.7,12.7,107.5,437.96,346.83,91.13,347.39,2022-06-17,
2068,10,120.7,12.8,107.4,437.98,346.8,91.18,347.35,2022-06-17,
2069,11,120.5,12.7,107.3,437.89,346.84,91.05,347.16,2022-06-17,
2070,12,120.4,12.7,107.2,437.71,346.82,90.89,347.36,2022-06-17,
2071,13,128.8,21.0,107.3,437.42,348.13,89.29,348.28,2022-06-17,
2072,14,145.5,37.0,108.0,437.43,348.54,88.89,348.7,2022-06-17,
2073,15,144.7,35.8,108.4,437.35,348.67,88.68,348.73,2022-06-17,
2074,16,143.9,35.2,108.2,437.37,348.14,89.23,348.58,2022-06-17,
2075,17,134.9,25.7,108.7,437.51,347.65,89.86,348.15,2022-06-17,
2076,18,134.0,24.6,108.9,437.59,347.75,89.84,348.02,2022-06-17,
2077,19,134.1,24.4,109.2,437.75,347.65,90.1,347.98,2022-06-17,
2078,20,135.8,24.4,109.4,437.76,347.81,89.95,347.97,2022-06-17,
2079,21,134.6,24.4,109.6,438.02,347.8,90.22,348.03,2022-06-17,
2080,22,136.1,24.4,109.8,438.06,347.61,90.45,347.92,2022-06-17,
2081,23,134.8,24.3,110.0,438.23,347.75,90.48,348.0,2022-06-17,
2082,24,135.2,24.4,110.4,438.32,347.74,90.58,348.36,2022-06-17,
2083,,,,,,,,,2022-06-17,
2084,AVG,141.1,31.57,108.92,438.13,348.24,89.89,348.51,2022-06-17,
2085,,,,,,,,,2022-06-17,
2086,MAX,173.3,62.4,110.4,439.31,350.72,91.18,350.54,2022-06-17,
2087,MIN,120.4,12.7,107.2,437.35,346.8,88.52,347.16,2022-06-17,
2088,1,135.7,24.4,110.8,438.47,347.73,90.74,348.22,2022-06-18,
2089,2,135.4,24.3,110.6,438.61,347.62,90.99,348.28,2022-06-18,
2090,3,134.8,24.3,109.9,438.64,347.75,90.89,347.86,2022-06-18,
2091,4,136.3,24.1,110.1,438.7,347.57,91.13,348.31,2022-06-18,
2092,5,125.1,12.4,110.7,439.07,346.9,92.17,347.35,2022-06-18,
2093,6,121.2,10.5,110.2,438.41,346.81,91.6,347.18,2022-06-18,
2094,7,122.3,10.6,109.7,438.51,347.09,91.42,347.43,2022-06-18,
2095,8,121.3,10.6,110.2,438.75,346.86,91.89,347.17,2022-06-18,
2096,9,121.1,10.6,110.1,438.63,346.82,91.81,347.09,2022-06-18,
2097,10,122.7,10.6,110.1,438.73,346.8,91.93,347.16,2022-06-18,
2098,11,122.7,10.5,110.2,438.74,346.78,91.96,347.27,2022-06-18,
2099,12,121.3,10.5,110.2,438.8,346.68,92.12,347.24,2022-06-18,
2100,13,122.8,10.5,110.3,438.85,346.74,92.11,347.24,2022-06-18,
2101,14,122.9,10.6,110.3,438.85,346.78,92.07,347.2,2022-06-18,
2102,15,121.3,10.5,110.3,438.78,346.8,91.98,347.08,2022-06-18,
2103,16,121.4,10.6,110.3,438.8,346.66,92.14,347.08,2022-06-18,
2104,17,121.6,10.7,110.4,438.82,346.91,91.91,347.02,2022-06-18,
2105,18,130.6,19.9,110.2,438.68,347.52,91.16,347.81,2022-06-18,
2106,19,135.0,24.3,110.3,438.81,347.76,91.05,348.0,2022-06-18,
2107,20,135.3,24.3,110.5,438.9,347.68,91.22,348.03,2022-06-18,
2108,21,147.7,36.9,110.4,438.83,348.74,90.09,348.8,2022-06-18,
2109,22,149.6,38.8,110.3,438.78,348.85,89.93,349.01,2022-06-18,
2110,23,149.6,38.9,110.3,438.74,348.78,89.96,349.14,2022-06-18,
2111,24,148.5,37.9,110.1,438.74,348.23,90.51,348.42,2022-06-18,
2112,,,,,,,,,2022-06-18,
2113,AVG,130.26,19.05,110.27,438.74,347.37,91.37,347.72,2022-06-18,
2114,,,,,,,,,2022-06-18,
2115,MAX,149.6,38.9,110.8,439.07,348.85,92.17,349.14,2022-06-18,
2116,MIN,121.1,10.5,109.7,438.41,346.66,89.93,347.02,2022-06-18,
2117,1,137.0,26.5,110.1,438.66,347.92,90.74,348.24,2022-06-19,
2118,2,135.4,25.0,109.9,438.56,347.67,90.89,348.42,2022-06-19,
2119,3,135.3,25.0,109.8,438.55,347.74,90.81,348.24,2022-06-19,
2120,4,134.9,24.6,109.8,438.57,347.52,91.05,347.99,2022-06-19,
2121,5,121.1,10.8,109.8,438.55,346.88,91.67,347.27,2022-06-19,
2122,6,121.6,11.4,109.6,438.32,347.04,91.28,347.55,2022-06-19,
2123,7,133.4,23.9,109.0,438.19,347.71,90.48,348.12,2022-06-19,
2124,8,134.2,24.7,108.9,438.18,347.71,90.47,348.07,2022-06-19,
2125,9,133.1,24.1,108.5,437.94,347.63,90.31,347.64,2022-06-19,
2126,10,133.1,23.9,108.6,438.15,347.64,90.51,348.04,2022-06-19,
2127,11,133.2,23.9,108.8,438.16,347.64,90.52,348.03,2022-06-19,
2128,12,133.2,23.8,108.9,438.24,347.6,90.64,348.19,2022-06-19,
2129,13,133.4,23.8,109.1,438.28,347.44,90.84,347.98,2022-06-19,
2130,14,133.5,23.9,109.2,438.32,347.57,90.75,347.99,2022-06-19,
2131,15,133.5,23.8,109.3,438.35,347.69,90.66,348.0,2022-06-19,
2132,16,133.9,23.8,109.6,438.53,347.75,90.78,347.91,2022-06-19,
2133,17,135.4,23.9,111.0,438.28,347.92,90.36,348.27,2022-06-19,
2134,18,136.2,24.1,111.6,438.34,347.88,90.46,348.36,2022-06-19,
2135,19,136.1,24.2,111.4,438.02,347.73,90.29,348.02,2022-06-19,
2136,20,136.7,24.2,110.5,437.7,347.79,89.91,348.08,2022-06-19,
2137,21,134.4,24.1,109.8,437.29,347.61,89.68,347.94,2022-06-19,
2138,22,121.9,11.0,110.4,437.55,346.78,90.77,347.44,2022-06-19,
2139,23,121.8,10.7,110.6,437.58,346.74,90.84,347.39,2022-06-19,
2140,24,122.0,10.7,110.8,437.89,346.84,91.05,347.33,2022-06-19,
2141,,,,,,,,,2022-06-19,
2142,AVG,131.85,21.49,109.79,438.17,347.52,90.66,347.94,2022-06-19,
2143,,,,,,,,,2022-06-19,
2144,MAX,137.0,26.5,111.6,438.66,347.92,91.67,348.42,2022-06-19,
2145,MIN,121.1,10.7,108.5,437.29,346.74,89.68,347.27,2022-06-19,
2146,1,124.0,10.6,111.4,438.12,346.88,91.24,347.26,2022-06-20,
2147,2,123.1,10.6,112.0,438.35,347.04,91.31,347.36,2022-06-20,
2148,3,123.1,10.6,112.0,438.61,346.93,91.68,347.37,2022-06-20,
2149,4,123.0,10.6,111.9,438.85,347.09,91.76,347.16,2022-06-20,
2150,5,123.0,10.5,112.0,438.91,346.84,92.07,347.33,2022-06-20,
2151,6,122.2,10.6,111.1,438.43,346.9,91.53,347.16,2022-06-20,
2152,7,122.1,10.6,111.0,438.38,346.83,91.55,347.49,2022-06-20,
2153,8,126.8,10.6,111.2,438.22,346.96,91.26,347.11,2022-06-20,
2154,9,121.7,10.6,110.6,438.07,346.71,91.36,347.12,2022-06-20,
2155,10,121.5,10.6,110.4,437.97,346.69,91.28,347.35,2022-06-20,
2156,11,121.2,10.6,110.1,437.76,346.82,90.94,347.14,2022-06-20,
2157,12,123.0,10.6,111.9,437.62,346.91,90.71,347.29,2022-06-20,
2158,13,123.2,10.7,112.0,437.56,346.94,90.62,347.17,2022-06-20,
2159,14,122.9,10.7,111.7,437.36,346.93,90.43,347.25,2022-06-20,
2160,15,123.0,11.1,111.4,437.21,347.11,90.1,347.46,2022-06-20,
2161,16,135.8,23.5,111.8,437.32,347.71,89.61,348.1,2022-06-20,
2162,17,136.1,23.8,111.8,437.25,347.77,89.48,347.93,2022-06-20,
2163,18,136.3,23.8,111.9,437.43,347.83,89.6,348.15,2022-06-20,
2164,19,136.4,23.8,112.1,437.44,347.72,89.72,348.32,2022-06-20,
2165,20,136.3,23.6,112.1,437.51,347.73,89.78,348.14,2022-06-20,
2166,21,123.6,11.2,111.9,437.49,346.9,90.59,347.43,2022-06-20,
2167,22,122.9,10.7,111.8,437.56,347.09,90.47,347.28,2022-06-20,
2168,23,123.0,10.7,111.8,437.47,346.89,90.58,347.36,2022-06-20,
2169,24,122.1,11.5,110.1,437.41,346.29,91.12,346.86,2022-06-20,
2170,,,,,,,,,2022-06-20,
2171,AVG,125.68,13.42,111.5,437.85,347.06,90.78,347.44,2022-06-20,
2172,,,,,,,,,2022-06-20,
2173,MAX,136.4,23.8,112.1,438.91,347.83,92.07,348.32,2022-06-20,
2174,MIN,121.2,10.5,110.1,437.21,346.29,89.48,346.86,2022-06-20,
2175,1,105.9,25.9,79.5,437.37,345.62,91.75,346.1,2022-06-21,
2176,2,97.8,18.0,79.4,437.42,344.76,92.66,345.26,2022-06-21,
2177,3,105.5,25.5,79.5,437.29,345.44,91.85,345.94,2022-06-21,
2178,4,106.0,26.6,78.8,437.41,345.85,91.56,346.06,2022-06-21,
2179,5,106.9,60.6,45.8,437.46,346.35,91.11,346.24,2022-06-21,
2180,6,107.1,61.8,44.8,437.63,346.36,91.27,346.2,2022-06-21,
2181,7,111.2,57.3,53.4,437.65,346.33,91.32,346.34,2022-06-21,
2182,8,109.7,53.1,54.6,437.7,346.4,91.3,346.34,2022-06-21,
2183,9,107.8,52.7,54.7,437.72,346.41,91.31,346.18,2022-06-21,
2184,10,107.7,52.4,54.8,437.79,346.33,91.46,346.29,2022-06-21,
2185,11,107.8,52.5,54.8,437.81,346.31,91.5,346.2,2022-06-21,
2186,12,107.5,52.1,54.9,437.83,346.33,91.5,346.21,2022-06-21,
2187,13,107.4,52.0,54.9,437.83,346.3,91.53,346.15,2022-06-21,
2188,14,109.7,54.9,54.3,437.79,346.68,91.11,346.51,2022-06-21,
2189,15,114.7,64.3,49.9,437.78,346.81,90.97,346.72,2022-06-21,
2190,16,115.7,65.4,49.8,437.73,347.05,90.68,346.78,2022-06-21,
2191,17,116.8,66.6,49.7,437.63,347.17,90.46,346.97,2022-06-21,
2192,18,117.2,67.0,49.7,437.68,347.15,90.53,347.03,2022-06-21,
2193,19,124.7,67.0,57.2,437.68,347.75,89.93,347.53,2022-06-21,
2194,20,127.2,67.0,59.7,437.67,347.86,89.81,347.52,2022-06-21,
2195,21,128.7,67.0,59.7,437.72,347.93,89.79,347.64,2022-06-21,
2196,22,126.6,66.1,60.0,437.73,347.43,90.3,347.37,2022-06-21,
