,Hour,Total Outflow kcfs,Generation Flow kcfs,Spill kcfs,PH 1 Forebay Elevation,Tailwater Elevation,Average Head,Project Forebay Elevation,Stevenson Gage Elevation,Project Tailwater Elevation,Date
1246,MIN,251.1,89.5,148.2,72.1,20.9,49.9,71.9,73.9,20.8,2022-05-19
1247,1,262.9,101.4,149.1,73.0,21.1,51.9,72.8,74.6,21.0,2022-05-20
1248,2,262.8,101.3,149.1,72.9,21.0,51.9,72.9,74.6,21.0,2022-05-20
1249,3,261.3,99.8,149.1,72.8,21.5,51.3,72.8,74.8,21.3,2022-05-20
1250,4,280.7,119.4,148.9,72.8,21.8,51.0,72.6,74.7,21.5,2022-05-20
1251,5,282.0,120.6,149.0,72.5,22.1,50.4,72.6,74.7,21.7,2022-05-20
1252,6,300.9,139.7,148.8,72.5,22.7,49.8,72.3,74.6,22.2,2022-05-20
1253,7,322.4,161.3,148.7,71.8,23.5,48.3,71.8,74.4,23.0,2022-05-20
1254,8,323.5,162.2,148.9,72.2,23.4,48.8,71.9,74.4,22.8,2022-05-20
1255,9,301.2,139.6,149.2,72.5,22.8,49.7,72.4,74.6,22.4,2022-05-20
1256,10,298.9,137.4,149.1,72.6,22.8,49.8,72.5,74.7,22.4,2022-05-20
1257,11,301.6,140.1,149.1,72.7,22.8,49.9,72.5,74.7,22.5,2022-05-20
1258,12,297.5,135.9,149.2,72.7,22.7,50.0,72.6,74.7,22.4,2022-05-20
1259,13,295.5,134.0,149.1,72.6,22.7,49.9,72.6,74.7,22.3,2022-05-20
1260,14,298.7,137.2,149.1,72.5,22.9,49.6,72.4,74.7,22.5,2022-05-20
1261,15,298.6,137.2,149.0,72.5,22.8,49.7,72.4,74.6,22.5,2022-05-20
1262,16,299.9,138.5,149.0,72.4,23.0,49.4,72.3,74.6,22.5,2022-05-20
1263,17,314.0,152.9,148.7,72.0,23.7,48.3,72.0,74.5,23.0,2022-05-20
1264,18,313.4,152.2,148.8,72.1,23.4,48.7,72.1,74.5,22.9,2022-05-20
1265,19,311.6,150.2,149.0,72.3,23.4,48.9,72.3,74.6,22.9,2022-05-20
1266,20,310.6,149.2,149.0,72.4,23.3,49.1,72.4,74.7,22.9,2022-05-20
1267,21,310.2,148.6,149.2,72.5,23.4,49.1,72.5,74.8,22.9,2022-05-20
1268,22,303.8,142.2,149.2,72.8,23.1,49.7,72.7,75.0,22.7,2022-05-20
1269,23,304.0,142.5,149.1,73.4,22.8,50.6,73.0,75.1,22.6,2022-05-20
1270,24,276.3,114.4,149.5,73.8,22.1,51.7,73.7,75.4,21.8,2022-05-20
1271,,,,,,,,,,,2022-05-20
1272,AVG,297.18,135.74,149.04,72.6,22.7,49.9,72.5,74.7,22.32,2022-05-20
1273,,,,,,,,,,,2022-05-20
1274,MAX,323.5,162.2,149.5,73.8,23.7,51.9,73.7,75.4,23.0,2022-05-20
1275,MIN,261.3,99.8,148.7,71.8,21.0,48.3,71.8,74.4,21.0,2022-05-20
1276,1,271.4,109.5,149.5,74.1,21.9,52.2,73.9,75.6,21.7,2022-05-21
1277,2,272.0,110.1,149.5,74.2,21.8,52.4,74.0,75.7,21.5,2022-05-21
1278,3,270.7,108.8,149.5,74.2,21.7,52.5,74.0,75.7,21.5,2022-05-21
1279,4,270.7,108.8,149.5,74.3,21.6,52.7,74.1,75.8,21.4,2022-05-21
1280,5,271.6,109.7,149.5,74.4,21.6,52.8,74.2,75.9,21.4,2022-05-21
1281,6,270.5,108.6,149.5,74.5,21.6,52.9,74.3,76.0,21.3,2022-05-21
1282,7,269.8,107.8,149.6,74.7,21.5,53.2,74.4,76.1,21.3,2022-05-21
1283,8,271.4,109.2,149.8,74.7,21.5,53.2,74.5,76.2,21.4,2022-05-21
1284,9,272.2,110.0,149.8,74.8,21.5,53.3,74.6,76.3,21.3,2022-05-21
1285,10,272.0,109.9,149.7,74.9,21.4,53.5,74.7,76.4,21.3,2022-05-21
1286,11,271.8,109.7,149.7,75.0,21.4,53.6,74.8,76.5,21.2,2022-05-21
1287,12,272.3,110.3,149.6,74.9,21.5,53.4,74.8,76.5,21.3,2022-05-21
1288,13,289.6,128.0,149.2,74.6,22.2,52.4,74.5,76.4,21.8,2022-05-21
1289,14,292.6,131.0,149.2,74.5,22.3,52.2,74.4,76.4,22.0,2022-05-21
1290,15,293.7,132.1,149.2,74.4,22.4,52.0,74.3,76.3,22.0,2022-05-21
1291,16,293.2,131.6,149.2,74.3,22.3,52.0,74.3,76.2,22.0,2022-05-21
1292,17,294.2,132.6,149.2,74.2,22.4,51.8,74.1,76.1,22.1,2022-05-21
1293,18,311.0,149.7,148.9,73.6,23.2,50.4,73.6,75.9,22.7,2022-05-21
1294,19,327.9,166.9,148.6,73.3,23.8,49.5,73.3,75.8,23.2,2022-05-21
1295,20,328.1,166.7,149.0,73.5,23.5,50.0,73.4,75.8,23.3,2022-05-21
1296,21,327.8,166.1,149.3,73.4,23.9,49.5,73.5,75.9,23.3,2022-05-21
1297,22,328.4,166.7,149.3,73.4,23.9,49.5,73.4,75.8,23.4,2022-05-21
1298,23,328.6,166.9,149.3,73.9,23.6,50.3,73.7,75.9,23.1,2022-05-21
1299,24,304.3,142.2,149.7,74.2,22.8,51.4,74.2,76.0,22.5,2022-05-21
1300,,,,,,,,,,,2022-05-21
1301,AVG,290.66,128.87,149.39,74.25,22.3,51.95,74.12,76.05,22.0,2022-05-21
1302,,,,,,,,,,,2022-05-21
1303,MAX,328.6,166.9,149.8,75.0,23.9,53.6,74.8,76.5,23.4,2022-05-21
1304,MIN,269.8,107.8,148.6,73.3,21.4,49.5,73.3,75.6,21.2,2022-05-21
1305,1,276.0,113.5,150.1,74.7,22.0,52.7,74.5,76.2,21.8,2022-05-22
1306,2,274.7,112.3,150.0,74.4,21.9,52.5,74.4,76.1,21.7,2022-05-22
1307,3,274.5,112.4,149.7,74.2,21.9,52.3,74.1,75.9,21.7,2022-05-22
1308,4,274.7,112.7,149.6,74.2,21.7,52.5,74.0,75.8,21.6,2022-05-22
1309,5,275.9,113.8,149.7,74.1,21.8,52.3,73.9,75.7,21.5,2022-05-22
1310,6,276.0,113.9,149.7,74.0,21.7,52.3,73.8,75.6,21.5,2022-05-22
1311,7,281.8,119.7,149.7,73.8,22.0,51.8,73.7,75.5,21.7,2022-05-22
1312,8,281.8,119.4,150.0,73.8,21.9,51.9,73.7,75.5,21.6,2022-05-22
1313,9,282.1,119.8,149.9,73.8,21.9,51.9,73.6,75.5,21.6,2022-05-22
1314,10,282.8,120.6,149.8,73.7,21.9,51.8,73.6,75.5,21.6,2022-05-22
1315,11,283.4,121.2,149.8,73.7,21.9,51.8,73.6,75.5,21.6,2022-05-22
1316,12,282.4,120.3,149.7,73.7,21.9,51.8,73.6,75.5,21.6,2022-05-22
1317,13,282.0,119.8,149.8,73.9,21.8,52.1,73.7,75.6,21.5,2022-05-22
1318,14,281.9,119.6,149.9,73.9,21.8,52.1,73.8,75.6,21.6,2022-05-22
1319,15,287.6,125.3,149.9,73.8,22.1,51.7,73.7,75.6,21.8,2022-05-22
1320,16,289.5,127.4,149.7,73.6,22.2,51.4,73.6,75.6,21.8,2022-05-22
1321,17,291.6,129.6,149.6,73.6,22.3,51.3,73.6,75.6,21.9,2022-05-22
1322,18,308.9,147.1,149.4,73.2,23.0,50.2,73.2,75.5,22.5,2022-05-22
1323,19,295.5,133.2,149.9,73.5,22.2,51.3,73.5,75.5,21.8,2022-05-22
1324,20,285.5,123.5,149.6,73.3,22.0,51.3,73.2,75.2,21.7,2022-05-22
1325,21,288.7,126.8,149.5,72.9,22.2,50.7,72.9,74.9,21.9,2022-05-22
1326,22,289.1,127.0,149.7,72.8,22.1,50.7,72.8,74.8,21.8,2022-05-22
1327,23,288.7,126.4,149.9,73.0,22.1,50.9,73.0,74.9,21.7,2022-05-22
1328,24,288.9,126.4,150.1,73.2,22.0,51.2,73.2,75.0,21.7,2022-05-22
1329,,,,,,,,,,,2022-05-22
1330,AVG,284.33,122.15,149.78,73.7,22.01,51.69,73.61,75.5,21.72,2022-05-22
1331,,,,,,,,,,,2022-05-22
1332,MAX,308.9,147.1,150.1,74.7,23.0,52.7,74.5,76.2,22.5,2022-05-22
1333,MIN,274.5,112.3,149.4,72.8,21.7,50.2,72.8,74.8,21.5,2022-05-22
1334,1,269.8,107.0,150.4,73.7,21.3,52.4,73.5,75.3,21.1,2022-05-23
1335,2,259.4,96.9,150.1,73.9,20.9,53.0,73.8,75.4,20.8,2022-05-23
1336,3,257.6,95.9,149.3,74.1,20.9,53.2,73.9,75.5,20.8,2022-05-23
1337,4,257.8,95.9,149.5,74.2,20.8,53.4,74.0,75.6,20.7,2022-05-23
1338,5,258.2,96.4,149.4,74.2,20.8,53.4,73.9,75.7,20.7,2022-05-23
1339,6,258.9,97.0,149.5,74.3,20.8,53.5,74.1,75.8,20.7,2022-05-23
1340,7,258.4,96.5,149.5,74.5,20.8,53.7,74.2,75.9,20.6,2022-05-23
1341,8,257.2,95.3,149.5,74.5,20.7,53.8,74.3,75.9,20.6,2022-05-23
1342,9,257.4,95.5,149.5,74.5,20.7,53.8,74.3,76.0,20.6,2022-05-23
1343,10,260.4,98.5,149.5,74.5,20.7,53.8,74.4,76.0,20.6,2022-05-23
1344,11,261.6,99.7,149.5,74.5,20.8,53.7,74.4,76.1,20.7,2022-05-23
1345,12,261.9,100.1,149.4,74.5,20.8,53.7,74.4,76.0,20.6,2022-05-23
1346,13,262.3,100.5,149.4,74.5,20.8,53.7,74.3,76.0,20.5,2022-05-23
1347,14,262.1,100.3,149.4,74.5,20.8,53.7,74.4,76.0,20.5,2022-05-23
1348,15,262.1,100.2,149.5,74.5,20.8,53.7,74.4,76.1,20.6,2022-05-23
1349,16,262.2,100.1,149.7,74.5,20.8,53.7,74.4,76.1,20.6,2022-05-23
1350,17,262.9,100.8,149.7,74.5,20.8,53.7,74.4,76.1,20.6,2022-05-23
1351,18,262.4,100.4,149.6,74.4,20.8,53.6,74.3,76.0,20.6,2022-05-23
1352,19,262.1,100.1,149.6,74.4,20.8,53.6,74.3,76.0,20.6,2022-05-23
1353,20,262.4,100.3,149.7,74.5,20.7,53.8,74.4,76.0,20.6,2022-05-23
1354,21,262.6,100.3,149.9,74.5,20.8,53.7,74.4,76.0,20.5,2022-05-23
1355,22,261.8,99.5,149.9,74.5,20.9,53.6,74.4,76.0,20.5,2022-05-23
1356,23,262.0,99.6,150.0,74.5,20.7,53.8,74.3,76.0,20.5,2022-05-23
1357,24,249.9,87.3,150.2,74.8,20.2,54.6,74.6,76.1,20.0,2022-05-23
1358,,,,,,,,,,,2022-05-23
1359,AVG,260.56,98.5,149.65,74.4,20.79,53.61,74.24,75.9,20.61,2022-05-23
1360,,,,,,,,,,,2022-05-23
1361,MAX,269.8,107.0,150.4,74.8,21.3,54.6,74.6,76.1,21.1,2022-05-23
1362,MIN,249.9,87.3,149.3,73.7,20.2,52.4,73.5,75.3,20.0,2022-05-23
1363,1,234.9,72.3,150.2,75.0,19.5,55.5,74.8,76.1,19.5,2022-05-24
1364,2,234.6,72.2,150.0,75.0,19.4,55.6,74.8,76.1,19.5,2022-05-24
1365,3,233.8,71.3,150.1,75.0,19.3,55.7,74.8,76.2,19.4,2022-05-24
1366,4,233.1,70.5,150.2,75.1,19.2,55.9,74.9,76.2,19.4,2022-05-24
1367,5,233.2,70.6,150.2,75.2,19.2,56.0,74.9,76.3,19.3,2022-05-24
1368,6,233.3,70.8,150.1,74.8,19.6,55.2,74.8,76.3,19.6,2022-05-24
1369,7,246.6,84.2,150.0,75.0,19.8,55.2,74.8,76.3,19.7,2022-05-24
1370,8,247.5,85.1,150.0,75.1,19.7,55.4,74.9,76.3,19.7,2022-05-24
1371,9,247.7,85.3,150.0,75.1,19.8,55.3,75.0,76.4,19.8,2022-05-24
1372,10,246.8,84.4,150.0,75.1,19.8,55.3,75.0,76.5,19.7,2022-05-24
1373,11,249.6,87.4,149.8,74.9,20.1,54.8,74.9,76.5,20.0,2022-05-24
1374,12,259.3,97.2,149.7,74.9,20.4,54.5,74.8,76.5,20.2,2022-05-24
1375,13,265.8,103.9,149.5,74.9,20.5,54.4,74.7,76.4,20.2,2022-05-24
1376,14,265.6,102.9,150.3,74.7,20.5,54.2,74.7,76.4,20.4,2022-05-24
1377,15,268.3,104.9,151.0,74.8,20.6,54.2,74.7,76.3,20.4,2022-05-24
1378,16,265.4,102.7,150.3,74.8,20.5,54.3,74.7,76.4,20.4,2022-05-24
1379,17,266.4,103.8,150.2,74.8,20.5,54.3,74.7,76.3,20.3,2022-05-24
1380,18,266.4,103.9,150.1,74.6,20.7,53.9,74.6,76.3,20.5,2022-05-24
1381,19,276.9,114.6,149.9,74.5,21.0,53.5,74.4,76.2,20.9,2022-05-24
1382,20,276.6,114.2,150.0,74.6,21.0,53.6,74.5,76.2,20.9,2022-05-24
1383,21,276.3,113.7,150.2,74.7,21.1,53.6,74.6,76.3,20.9,2022-05-24
1384,22,276.5,113.9,150.2,74.6,21.1,53.5,74.6,76.3,20.9,2022-05-24
1385,23,283.1,120.7,150.0,74.6,21.3,53.3,74.4,76.3,21.2,2022-05-24
1386,24,270.5,107.8,150.3,74.9,20.8,54.1,74.7,76.4,20.8,2022-05-24
1387,,,,,,,,,,,2022-05-24
1388,AVG,256.59,94.1,150.1,74.86,20.23,54.64,74.74,76.31,20.15,2022-05-24
1389,,,,,,,,,,,2022-05-24
1390,MAX,283.1,120.7,151.0,75.2,21.3,56.0,75.0,76.5,21.2,2022-05-24
1391,MIN,233.1,70.5,149.5,74.5,19.2,53.3,74.4,76.1,19.3,2022-05-24
1392,1,273.8,111.0,150.4,74.8,20.9,53.9,74.7,76.4,20.8,2022-05-25
1393,2,266.1,103.4,150.3,74.8,20.6,54.2,74.6,76.3,20.6,2022-05-25
1394,3,264.2,101.7,150.1,74.5,20.7,53.8,74.4,76.1,20.6,2022-05-25
1395,4,265.1,102.9,149.8,74.2,20.7,53.5,74.1,75.8,20.6,2022-05-25
1396,5,266.7,104.7,149.6,74.1,20.7,53.4,73.9,75.7,20.6,2022-05-25
1397,6,269.1,107.1,149.6,73.2,21.3,51.9,73.3,75.4,20.9,2022-05-25
1398,7,288.0,126.0,149.6,73.2,21.8,51.4,73.1,75.2,21.3,2022-05-25
1399,8,288.3,126.1,149.8,73.2,21.7,51.5,73.1,75.2,21.4,2022-05-25
1400,9,286.4,124.0,150.0,73.4,21.6,51.8,73.4,75.2,21.3,2022-05-25
1401,10,268.6,106.0,150.2,73.8,20.9,52.9,73.7,75.4,20.8,2022-05-25
1402,11,268.6,106.2,150.0,73.8,20.9,52.9,73.7,75.4,20.8,2022-05-25
1403,12,269.7,107.4,149.9,73.9,20.9,53.0,73.7,75.5,20.8,2022-05-25
1404,13,268.5,106.2,149.9,73.9,20.8,53.1,73.8,75.6,20.8,2022-05-25
1405,14,269.1,106.9,149.8,74.0,21.0,53.0,73.8,75.6,20.8,2022-05-25
1406,15,269.0,106.8,149.8,74.0,20.9,53.1,73.9,75.6,20.7,2022-05-25
1407,16,268.1,106.1,149.6,74.1,20.8,53.3,74.0,75.7,20.7,2022-05-25
1408,17,266.3,104.4,149.5,73.9,21.2,52.7,74.0,75.8,20.8,2022-05-25
1409,18,287.2,125.4,149.4,73.8,21.8,52.0,73.8,75.9,21.5,2022-05-25
1410,19,306.8,145.0,149.4,73.3,22.6,50.7,73.6,75.8,22.1,2022-05-25
1411,20,305.4,143.3,149.7,73.7,22.5,51.2,73.7,75.9,22.0,2022-05-25
1412,21,305.4,143.1,149.9,73.8,22.5,51.3,73.8,75.9,22.2,2022-05-25
1413,22,306.8,144.4,150.0,74.0,22.5,51.5,73.9,75.9,22.2,2022-05-25
1414,23,302.9,140.4,150.1,74.1,22.4,51.7,73.9,76.0,22.0,2022-05-25
1415,24,290.6,128.1,150.1,74.3,22.1,52.2,74.1,76.1,21.8,2022-05-25
1416,,,,,,,,,,,2022-05-25
1417,AVG,280.03,117.78,149.85,73.91,21.41,52.5,73.83,75.73,21.17,2022-05-25
1418,,,,,,,,,,,2022-05-25
1419,MAX,306.8,145.0,150.4,74.8,22.6,54.2,74.7,76.4,22.2,2022-05-25
1420,MIN,264.2,101.7,149.4,73.2,20.6,50.7,73.1,75.2,20.6,2022-05-25
1421,1,280.7,118.2,150.1,74.5,21.4,53.1,74.3,76.1,21.3,2022-05-26
1422,2,273.8,111.4,150.0,74.4,21.3,53.1,74.2,76.0,21.1,2022-05-26
1423,3,272.7,110.3,150.0,74.5,21.2,53.3,74.3,76.0,21.1,2022-05-26
1424,4,273.0,110.6,150.0,74.5,21.2,53.3,74.3,76.0,21.0,2022-05-26
1425,5,274.9,112.6,149.9,74.4,21.3,53.1,74.2,76.0,21.1,2022-05-26
1426,6,284.6,122.5,149.7,74.1,21.8,52.3,73.9,75.9,21.6,2022-05-26
1427,7,288.5,126.4,149.7,74.1,21.8,52.3,74.0,75.8,21.6,2022-05-26
1428,8,285.0,122.6,150.0,74.2,21.8,52.4,74.1,75.9,21.6,2022-05-26
1429,9,284.4,122.0,150.0,74.0,22.0,52.0,73.8,75.9,21.7,2022-05-26
1430,10,302.3,140.3,149.6,73.8,22.4,51.4,73.6,75.8,22.1,2022-05-26
1431,11,306.8,144.9,149.5,73.6,22.7,50.9,73.5,75.7,22.3,2022-05-26
1432,12,307.9,146.3,149.2,73.6,22.8,50.8,73.5,75.7,22.4,2022-05-26
1433,13,305.7,144.2,149.1,73.5,22.7,50.8,73.5,75.6,22.3,2022-05-26
1434,14,303.2,141.9,148.9,73.5,22.4,51.1,73.4,75.5,22.1,2022-05-26
1435,15,271.4,109.8,149.2,74.0,21.3,52.7,73.8,75.6,22.2,2022-05-26
1436,16,270.6,109.1,149.1,73.9,21.3,52.6,73.8,75.6,21.3,2022-05-26
1437,17,271.3,109.8,149.1,73.8,21.4,52.4,73.7,75.6,21.2,2022-05-26
1438,18,281.9,120.6,148.9,73.6,21.8,51.8,73.5,75.4,21.6,2022-05-26
1439,19,283.7,122.1,149.2,73.6,21.7,51.9,73.5,75.4,21.5,2022-05-26
1440,20,281.2,119.5,149.3,73.7,21.7,52.0,73.6,75.5,21.5,2022-05-26
1441,21,282.9,121.2,149.3,73.7,21.7,52.0,73.6,75.5,21.5,2022-05-26
1442,22,283.7,122.0,149.3,73.6,21.7,51.9,73.5,75.4,21.5,2022-05-26
1443,23,290.4,128.8,149.2,73.4,22.1,51.3,73.3,75.4,21.7,2022-05-26
1444,24,286.7,124.9,149.4,73.7,21.7,52.0,73.6,75.5,21.5,2022-05-26
1445,,,,,,,,,,,2022-05-26
1446,AVG,285.3,123.42,149.49,73.9,21.8,52.1,73.77,75.7,21.62,2022-05-26
1447,,,,,,,,,,,2022-05-26
1448,MAX,307.9,146.3,150.1,74.5,22.8,53.3,74.3,76.1,22.4,2022-05-26
1449,MIN,270.6,109.1,148.9,73.4,21.2,50.8,73.3,75.4,21.0,2022-05-26
1450,1,283.4,121.4,149.6,73.7,21.7,52.0,73.7,75.6,21.5,2022-05-27
1451,2,282.9,121.0,149.5,73.8,21.7,52.1,73.7,75.7,21.5,2022-05-27
1452,3,284.3,122.5,149.4,73.9,21.8,52.1,73.7,75.6,21.5,2022-05-27
1453,4,281.9,120.1,149.4,73.8,21.6,52.2,73.7,75.6,21.4,2022-05-27
1454,5,284.4,122.7,149.3,73.7,21.9,51.8,73.6,75.6,21.5,2022-05-27
1455,6,284.8,123.1,149.3,73.3,22.1,51.2,73.4,75.5,21.8,2022-05-27
1456,7,300.1,138.6,149.1,73.3,22.6,50.7,73.3,75.4,22.1,2022-05-27
1457,8,300.5,138.8,149.3,73.3,22.6,50.7,73.3,75.5,22.1,2022-05-27
1458,9,303.3,141.7,149.2,72.7,23.1,49.6,72.9,75.4,22.6,2022-05-27
1459,10,316.3,155.0,148.9,73.0,23.1,49.9,72.9,75.3,22.8,2022-05-27
1460,11,309.6,148.1,149.1,73.0,23.0,50.0,72.8,75.2,22.5,2022-05-27
1461,12,311.3,149.9,149.0,72.7,23.1,49.6,72.7,75.1,22.6,2022-05-27
1462,13,305.5,144.0,149.1,72.9,22.9,50.0,72.8,75.0,22.4,2022-05-27
1463,14,299.2,137.6,149.2,72.9,22.6,50.3,72.9,75.0,22.3,2022-05-27
1464,15,300.2,138.6,149.2,72.8,22.7,50.1,72.8,75.0,22.3,2022-05-27
1465,16,300.3,138.7,149.2,72.9,22.7,50.2,72.8,75.0,22.3,2022-05-27
1466,17,302.0,140.5,149.1,72.8,22.8,50.0,72.7,75.0,22.4,2022-05-27
1467,18,299.5,138.0,149.1,72.8,22.7,50.1,72.7,75.0,22.2,2022-05-27
1468,19,303.7,142.3,149.0,72.7,23.0,49.7,72.7,75.0,22.5,2022-05-27
1469,20,303.2,141.6,149.2,72.8,22.9,49.9,72.7,75.0,22.4,2022-05-27
1470,21,303.6,142.0,149.2,72.8,22.9,49.9,72.8,75.0,22.4,2022-05-27
1471,22,303.6,141.9,149.3,72.9,22.9,50.0,72.8,75.1,22.5,2022-05-27
1472,23,305.3,143.7,149.2,73.1,22.8,50.3,72.8,75.0,22.3,2022-05-27
1473,24,285.7,123.8,149.5,73.5,22.1,51.4,73.4,75.3,21.9,2022-05-27
1474,,,,,,,,,,,2022-05-27
1475,AVG,298.11,136.48,149.22,73.13,22.55,50.58,73.07,75.25,22.16,2022-05-27
1476,,,,,,,,,,,2022-05-27
1477,MAX,316.3,155.0,149.6,73.9,23.1,52.2,73.7,75.7,22.8,2022-05-27
1478,MIN,281.9,120.1,148.9,72.7,21.6,49.6,72.7,75.0,21.4,2022-05-27
1479,1,283.9,122.0,149.5,73.7,22.1,51.6,73.6,75.5,21.8,2022-05-28
1480,2,283.0,121.2,149.4,73.8,22.0,51.8,73.6,75.5,21.8,2022-05-28
1481,3,282.0,120.2,149.4,73.9,22.0,51.9,73.7,75.6,21.8,2022-05-28
1482,4,281.5,119.6,149.5,73.9,21.9,52.0,73.8,75.6,21.6,2022-05-28
1483,5,281.9,120.0,149.5,74.0,21.8,52.2,73.8,75.7,21.7,2022-05-28
1484,6,284.6,122.8,149.4,73.9,22.0,51.9,73.8,75.7,21.7,2022-05-28
1485,7,299.5,137.9,149.2,73.6,22.6,51.0,73.5,75.7,22.2,2022-05-28
1486,8,302.1,140.5,149.2,73.6,22.7,50.9,73.5,75.6,22.3,2022-05-28
1487,9,301.8,140.3,149.1,73.5,22.7,50.8,73.4,75.6,22.3,2022-05-28
1488,10,302.3,140.8,149.1,73.5,22.7,50.8,73.4,75.6,22.3,2022-05-28
1489,11,303.0,141.5,149.1,73.5,22.8,50.7,73.3,75.5,22.5,2022-05-28
1490,12,303.8,142.3,149.1,73.4,22.7,50.7,73.3,75.5,22.4,2022-05-28
1491,13,303.0,141.5,149.1,73.3,22.8,50.5,73.2,75.4,22.3,2022-05-28
1492,14,305.2,143.7,149.1,73.3,22.8,50.5,73.3,75.4,22.4,2022-05-28
1493,15,304.1,142.5,149.2,73.2,22.9,50.3,73.1,75.4,22.4,2022-05-28
1494,16,317.2,155.9,148.9,72.9,23.4,49.5,72.8,75.3,22.8,2022-05-28
1495,17,317.9,156.6,148.9,72.7,23.5,49.2,72.7,75.2,22.9,2022-05-28
1496,18,320.5,159.2,148.9,72.8,23.7,49.1,72.7,75.2,23.0,2022-05-28
1497,19,329.5,168.1,149.0,72.7,24.0,48.7,72.6,75.2,23.3,2022-05-28
1498,20,328.7,167.2,149.1,72.6,24.0,48.6,72.6,75.2,23.3,2022-05-28
1499,21,329.1,167.6,149.1,72.4,24.1,48.3,72.4,75.1,23.4,2022-05-28
1500,22,329.1,167.7,149.0,72.6,24.1,48.5,72.5,75.2,23.5,2022-05-28
1501,23,328.1,166.6,149.1,72.6,24.1,48.5,72.5,75.1,23.5,2022-05-28
1502,24,329.3,167.9,149.0,72.5,24.2,48.3,72.5,75.1,23.5,2022-05-28
1503,,,,,,,,,,,2022-05-28
1504,AVG,306.3,144.73,149.16,73.25,22.98,50.26,73.15,75.41,22.53,2022-05-28
1505,,,,,,,,,,,2022-05-28
1506,MAX,329.5,168.1,149.5,74.0,24.2,52.2,73.8,75.7,23.5,2022-05-28
1507,MIN,281.5,119.6,148.9,72.4,21.8,48.3,72.4,75.1,21.6,2022-05-28
1508,1,329.6,168.2,149.0,72.6,24.1,48.5,72.5,75.1,23.5,2022-05-29
1509,2,315.5,153.9,149.2,72.8,23.6,49.2,72.7,75.1,23.1,2022-05-29
1510,3,313.3,151.9,149.0,72.7,23.5,49.2,72.6,74.9,23.0,2022-05-29
1511,4,297.2,135.7,149.1,72.7,23.3,49.4,72.6,74.9,22.7,2022-05-29
1512,5,296.2,134.8,149.0,72.6,23.0,49.6,72.5,74.8,22.5,2022-05-29
1513,6,294.4,133.0,149.0,72.6,22.8,49.8,72.5,74.7,22.5,2022-05-29
1514,7,292.4,131.0,149.0,72.6,22.8,49.8,72.4,74.6,22.4,2022-05-29
1515,8,293.1,131.7,149.0,72.5,22.8,49.7,72.4,74.6,22.4,2022-05-29
1516,9,292.5,131.1,149.0,72.5,22.7,49.8,72.3,74.6,22.4,2022-05-29
1517,10,293.7,132.3,149.0,72.5,22.7,49.8,72.4,74.6,22.4,2022-05-29
1518,11,293.8,132.4,149.0,72.5,22.7,49.8,72.4,74.6,22.4,2022-05-29
1519,12,291.0,129.5,149.1,72.6,22.6,50.0,72.5,74.6,22.3,2022-05-29
1520,13,291.1,129.5,149.2,72.6,22.6,50.0,72.5,74.6,22.3,2022-05-29
1521,14,293.0,131.4,149.2,72.1,22.7,49.4,72.4,74.7,22.3,2022-05-29
1522,15,312.7,151.6,148.7,72.1,23.6,48.5,72.0,74.5,23.0,2022-05-29
1523,16,315.0,153.9,148.7,72.1,23.5,48.6,72.1,74.5,22.9,2022-05-29
1524,17,305.6,144.1,149.1,72.5,23.0,49.5,72.4,74.7,22.6,2022-05-29
1525,18,302.8,141.2,149.2,72.3,23.2,49.1,72.3,74.7,22.7,2022-05-29
1526,19,321.7,160.4,148.9,72.1,23.8,48.3,72.0,74.7,23.2,2022-05-29
1527,20,321.1,159.8,148.9,72.4,23.9,48.5,72.3,74.8,23.2,2022-05-29
1528,21,319.7,158.1,149.2,72.5,23.7,48.8,72.4,74.9,23.2,2022-05-29
1529,22,318.7,157.0,149.3,72.6,23.8,48.8,72.6,75.1,23.2,2022-05-29
1530,23,319.4,157.7,149.3,72.7,23.8,48.9,72.6,75.1,23.2,2022-05-29
1531,24,320.1,158.3,149.4,73.0,23.7,49.3,72.8,75.3,23.2,2022-05-29
1532,,,,,,,,,,,2022-05-29
1533,AVG,305.98,144.52,149.06,72.51,23.25,49.26,72.42,74.78,22.78,2022-05-29
1534,,,,,,,,,,,2022-05-29
1535,MAX,329.6,168.2,149.4,73.0,24.1,50.0,72.8,75.3,23.5,2022-05-29
1536,MIN,291.0,129.5,148.7,72.1,22.6,48.3,72.0,74.5,22.3,2022-05-29
1537,1,306.4,144.5,149.5,73.4,23.1,50.3,73.2,75.4,22.8,2022-05-30
1538,2,302.2,140.4,149.4,73.5,23.1,50.4,73.3,75.5,22.7,2022-05-30
1539,3,302.0,140.2,149.4,73.5,23.0,50.5,73.3,75.5,22.7,2022-05-30
1540,4,302.4,140.6,149.4,73.5,23.1,50.4,73.4,75.6,22.7,2022-05-30
1541,5,304.2,142.4,149.4,73.5,23.1,50.4,73.4,75.6,22.7,2022-05-30
1542,6,304.1,142.4,149.3,73.4,23.1,50.3,73.2,75.6,22.6,2022-05-30
1543,7,303.5,142.0,149.1,73.5,23.1,50.4,73.3,75.6,22.7,2022-05-30
1544,8,303.2,141.6,149.2,73.4,23.2,50.2,73.4,75.6,22.7,2022-05-30
